City,Climate Normal Station,Average Annual Temperature,Average Temperature of Coldest Month,Average Temperature of Warmest Month,Precipitation,Annual Rainfall (mm),Annual Snowfall (cm),Growing Degree Days,Number of Frost Free Days
Ajax,Oshawa,8.1,-4.8,20.6,871.9,766.1,105.8,1190,168
Burlington,Hamilton,7.9,-5.5,20.9,929.8,791.7,156.5,1256.3,167
Calgary,Calgary (Airport),4.4,-7.1,16.5,418.8,326.4,128.8,650.5,117
Edmonton,Edmonton (City),4.2,-10.4,17.7,455.7,347.8,123.5,810.1,135
Fredericton,Fredericton CDA,5.8,-9.4,19.4,1094.7,885.9,214.8,977,140
Guelph,Waterloo Wellington A,7,-6.5,20,916.5,776.8,159.7,1123.2,147
Halifax,Halifax Citadel,7.5,-4.1,19.1,1468.1,1313.9,154.2,973.5,182
Kelowna,Kelowna A,8.1,-2.6,19.5,386.9,311.3,89,1035.4,140
Kingston,Kingston,7.8,-7,21.5,951.4,791.6,159.9,1309.7,169
Kitchener,Waterloo Wellington A,7,-6.5,20,916.5,776.8,159.7,1123.2,147
Lethbridge,Lethbridge A,5.9,-6,18.2,380.2,276.7,112.4,874,119
Longueuil,Montrea/St-Hubert A,6.2,-10.4,20.6,1010.6,798.6,209.1,1161.7,150
Maple Ridge,Haney East,10,2.5,17.9,1787.8,1739.2,48.6,948.5,176
Mississauga,Toronto Lester B. Pearson Int'l A,8.2,-5.5,21.5,785.9,681.6,108.5,1324.6,168
Moncton,Moncton,6.1,-8.2,19.5,1124,842,282,1003.3,131
Montreal,Montreal/Pierre Elliott Trudeau Intl A,6.8,-9.7,21.2,1000.3,784.9,209.5,1260,165
New Westminster,Vancouver Int'l A,10.4,3.6,18,1189,1152.8,38.1,965.7,237
Niagara Falls,St Catharines A,9,-3.8,21.9,880.1,754.2,137.1,1401.9,179
Ottawa,Ottawa CDA,6.6,-10.2,21.2,919.5,755.5,175.4,1261,158
Peterborough,Peterborough A,6.2,-8.5,19.6,855.3,712.5,151.2,1029.9,132
Quebec City,Lauzon,4.6,-12,19.3,1178.7,903.8,275.1,946.4,143
Regina,Regina Int'l A,3.1,-14.7,18.9,389.7,308.9,100.2,913,115
St. Catharines,Port Dalhousie,9.3,-3.4,22.4,945.1,821.6,123.4,1444,187
Strathcona County,Edmonton (City),4.2,-10.4,17.7,455.7,347.8,123.5,810.1,135
Toronto,Toronto,9.4,-3.7,22.3,831.1,714,121.5,1480.2,203
Vancouver,Vancouver Int'l A,10.4,3.6,18,1189,1152.8,38.1,965.7,237
Victoria,Saanichton CDA,10.3,4.5,17.1,908.2,886.3,22,862.4,241
Waterloo,Waterloo Wellington A,7,-6.5,20,916.5,776.8,159.7,1123.2,147
Welland,Welland,8.8,-4.3,21.6,997.4,855.8,141.6,1379,151
Whitby,Oshawa WPCP,8.1,-4.8,20.6,871.9,766.1,105.8,1190,168
Windsor,Windsor A,9.9,-3.8,23,934.6,822.4,129.3,1634,195
Winnipeg,Winnipeg Richardson Int'l A,3,-16.4,19.7,521.1,418.9,113.7,1017.7,121
