AB,Abies
ABBA,Abies balsamea
ABCO,Abies concolor
ABGR,Abies grandis
AC,Acer
ACBU,Acer buergerianum
ACCA,Acer Campestre
ACFR,Acer Freemanii
ACGI,Acer ginnala
ACGLAB,Acer glabrum
ACGR,Acer griseum
ACGRAN,Acer grandidentatum
ACJA,Acer japonicum
ACMAC,Acer Macrophyllum
acmi,Acer spp.
ACNE,Acer Negundo
ACNIG,Acer saccharum var. nigrum
ACPA,Acer palmatum
ACPA_B,Acer palmatum 'Bloodgood'
ACPE,Acer pensylvanicum
ACPL,Acer Platanoides
ACPLCO,Acer Platanoides 'columnare'
ACPLCR,Acer Platanoides 'Crimson kin
ACPLSC,Acer Platanoides 'schwedleri'
ACPS,Acer pseudoplatanus
ACPS_A,Acer pseudoplatanus var. Aureo variegatum
acre,Acer spp.
ACRU,Acer Rubrum
ACRUAR,Acer Rubrum 'armstrong'
acrumo,Acer rubrum
ACSA1,Acer saccharinum
ACSA2,Acer saccharum
ACSA2G,Acer saccharum 'green mountai
ACSPI,Acer spicatum
AECA,Aesculus x carnea
AEGL,Aesculus glabra
AEHI,Aesculus Hippocastanum
AIAL,Ailanthus altissima
AIKO,Abies koreana
ALRUB,Alnus Rubra
AM,Amelanchier
AMAR,Amelanchier arborea
AMCA,Amelanchier canadensis
AMUT,Amelanchier x Grandiflora 'Autumn'
AREL,Aralia elata
AREX,Araucaria excelsa
ARSP,Aralia spinosa
astr,Unknown
BE,Betula
BEAL,Betula alleghaniensis
BELE,Betula lenta
BENI,Betula nigra
BEPA,Betula papyrifera
BEPE,Betula pendula
BEPEGR,Betula pendula gracilis
BEPO,Betula populifolia
beth,Berberis thunbergii
BEUT_J,Betula utilis 'Jacquemontii'
BLAOAK,Quercus velutina
BOAK,Quercus bicolor
BUROAK,Quercus macrocarpa
CA1,Carya
caar,Carya spp.
CABE,Carpinus betulus
CABIG,Catalpa bignonioides
CACA,Carpinus caroliniana
CACO,Carya cordiformis
CADE,Castanea dentata
CAEQ,Casuarina equisetifolia
caja,Castanea crenata
CAOV,Carya ovata
CAOVA,Catalpa ovata
CAPAL,Carya pallida
CARAQU,Carya aquatica
CARCAR,Carpinus caroliniana
cariii,Carya illinoinensis
CARIll,Carya illinoinensis
CARLAE,crataegus laevigata
CASP,Catalpa speciosa
CATEX,Carya texana
CATO,Carya tomentosa
CEAT_G,Cedrus atlantica 'Glauca'
CEATGP,Cedrus atlantica 'Glauca Pendula'
CECA,Cercis canadensis
CEDE,Cedrus deodara
CEJA,Cercidiphyllum japonicum
CELI,Cedrus libani
CELI_P,Cedrus libani 'Pendula'
CELORB,Celastrus orbiculatus
CEOC,Celtis occidentalis
CHNO_P,Chamaecyparis nootkatensis 'Pendula'
CHOB_T,Chamaecyparis obtusa 'Tetragona'
CHPI,Chamaecyparis pisifera
CHPI_A,Chamaecyparis pisifera var. Aurea
CHPI_F,Chamaecyparis pisifera 'Filifera'
CHPI_P,Chamaecyparis pisifera 'Plumosa'
CHTH,Chamaecyparis thyoides
CHVI,Chionanthus virginicus
CLAKEN,Cladrastis kentukea
CO1,Cornus
COAL,Cornus Alternifolia
COCO1,Cotinus coggygria
COCO2,Corylus colurna
Code,Botanical Name
COFL,Cornus florida
COKO,Cornus kousa
COMA2,Corylus maxima var. Purpurea
CORCOR,Corylus Cornuta
CORHET,Corylus heterophylla 
CORSER,Cornus sericea
CR,Crataegus
crla,crataegus laevigata
CRMO_T,Crataegus mordensis 'Toba'
CRMO2,Crataegus mollis 'scheele'
CROX,Crataegus monogyna
CRPH,Crataegus phaenopyrum
crvi,Crataegus viridis
CUNO,Cupressus nootkatensis
CYDOB,Cydonia oblonga
dafr,Unknown
DAIN,Davidia involucrata
DIOVI,Diospyros virginiana
DIVIR,Diospyros virginiana
doal,Unknown
ELAN,Elaeagnus angustifolia
elco,Elaeagnus commutata
elscoo,Eleagnus spp.
ERJAP,Eriobotrya japonica
EUALA,Euonymus alatus
EUJAP,Euonymus japonicus
FA,Fagus
FAGR,Fagus grandifolia
