Botanical Name,family,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Quebec,Saskatchewan
abies spp.,Pinaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abies amabilis,Pinaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abies balsamea,Pinaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
abies balsamea var. balsamea,Pinaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
abies grandis,Pinaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abies lasiocarpa,Pinaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abies lasiocarpa var. lasiocarpa,Pinaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abronia spp.,Nyctaginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abronia latifolia,Nyctaginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abronia umbellata,Nyctaginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abronia umbellata subsp. acutalata,Nyctaginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
abutilon spp.,Malvaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
abutilon theophrasti,Malvaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
acalypha spp.,Euphorbiaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
acalypha rhomboidea,Euphorbiaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
acanthospermum spp.,Asteraceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
acanthospermum hispidum,Asteraceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
acer spp.,Sapindaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acer campestre,Sapindaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
acer campestre subsp. campestre,Sapindaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
acer circinatum,Sapindaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
acer glabrum,Sapindaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
acer glabrum var. douglasii,Sapindaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
acer macrophyllum,Sapindaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
acer negundo,Sapindaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acer negundo subsp. negundo,Sapindaceae,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
acer negundo var. texanum,Sapindaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acer nigrum,Sapindaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
acer pensylvanicum,Sapindaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
acer platanoides,Sapindaceae,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
acer platanoides subsp. platanoides,Sapindaceae,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
acer pseudoplatanus,Sapindaceae,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
acer rubrum,Sapindaceae,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0
acer saccharinum,Sapindaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
acer saccharum,Sapindaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
acer saccharum subsp. saccharum,Sapindaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
acer spicatum,Sapindaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
acer tataricum,Sapindaceae,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
acer tataricum subsp. ginnala,Sapindaceae,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
achillea spp.,Asteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
