Botanical Name,DBH,DAUID,CTUID,City
Gleditsia triacanthos,10,35181279,5350805.25,Ajax
,11,35181279,5350805.25,Ajax
Acer saccharinum,17,35181279,5350805.25,Ajax
Tilia cordata,12,35181279,5350805.25,Ajax
Acer platanoides,12,35181279,5350805.25,Ajax
Acer platanoides,6,35181279,5350805.25,Ajax
Quercus rubra,5,35181279,5350805.25,Ajax
Tilia cordata,14,35181279,5350805.25,Ajax
Gleditsia triacanthos,10,35181279,5350805.25,Ajax
Gleditsia triacanthos,12,35181279,5350805.25,Ajax
Prunus cerasifera,14,35181279,5350805.25,Ajax
Tilia cordata,9,35181279,5350805.25,Ajax
Gleditsia triacanthos,8,35181279,5350805.25,Ajax
,6,35181279,5350805.25,Ajax
,8,35181279,5350805.25,Ajax
,10,35181279,5350805.25,Ajax
Acer saccharinum,18,35181279,5350805.25,Ajax
Acer saccharinum,18,35181279,5350805.25,Ajax
Syringa reticulata,10,35180899,5350805.17,Ajax
Fraxinus pennsylvanica,14,35180899,5350805.17,Ajax
Syringa reticulata,8,35180899,5350805.17,Ajax
Syringa reticulata,8,35180899,5350805.17,Ajax
Malus 'DurLawrence' 'Courageous',5,35180899,5350805.17,Ajax
Ginkgo biloba,8,35180899,5350805.17,Ajax
Ginkgo biloba,6,35180899,5350805.17,Ajax
Ginkgo biloba,8,35180899,5350805.17,Ajax
Ginkgo biloba,6,35180899,5350805.17,Ajax
Ginkgo biloba,4,35180899,5350805.17,Ajax
Ginkgo biloba,4,35180899,5350805.17,Ajax
Ginkgo biloba,6,35180899,5350805.17,Ajax
Syringa reticulata,6,35180899,5350805.17,Ajax
Syringa reticulata,8,35180899,5350805.17,Ajax
Syringa reticulata,8,35180899,5350805.17,Ajax
Syringa reticulata,8,35180901,5350805.17,Ajax
Syringa reticulata,4,35180901,5350805.17,Ajax
Acer 'Keithsform',8,35180901,5350805.17,Ajax
Acer saccharum,16,35180901,5350805.17,Ajax
Acer saccharum,14,35180901,5350805.17,Ajax
Acer saccharum,12,35180901,5350805.17,Ajax
Syringa reticulata,10,35180901,5350805.17,Ajax
Syringa reticulata,8,35180901,5350805.17,Ajax
