Botanical Name,DBH,DAUID,CTUID,City
Gymnocladus dioicus,6,35241039,5370224.03,Burlington
Quercus alba,9,35241039,5370224.03,Burlington
Quercus alba,11.5,35241039,5370224.03,Burlington
Quercus alba,0,35241039,5370224.03,Burlington
Quercus rubra,9,35241039,5370224.03,Burlington
Quercus rubra,11,35241039,5370224.03,Burlington
Quercus rubra,9,35241039,5370224.03,Burlington
Quercus rubra,11,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,11,35241039,5370224.03,Burlington
Quercus rubra,9,35241039,5370224.03,Burlington
Gymnocladus dioicus,5,35241039,5370224.03,Burlington
Ginkgo biloba,5,35241039,5370224.03,Burlington
,0,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Quercus rubra,10,35241039,5370224.03,Burlington
Acer saccharinum,7,35241039,5370224.03,Burlington
Acer saccharinum,7,35241039,5370224.03,Burlington
,0,35240411,5370204.00,Burlington
Platanus occidentalis,0,35240951,5370205.02,Burlington
Ulmus 'Homestead',0,35240951,5370205.02,Burlington
Betula alleghaniensis,0,35240951,5370205.02,Burlington
Ulmus 'Morton',0,35240951,5370205.02,Burlington
Betula alleghaniensis,0,35240951,5370205.02,Burlington
Ulmus 'Morton',0,35240451,5370211.00,Burlington
Ulmus 'Morton',0,35240451,5370211.00,Burlington
Tilia tomentosa,0,35240451,5370211.00,Burlington
Ulmus 'Morton',0,35240451,5370211.00,Burlington
Tilia tomentosa,0,35240451,5370211.00,Burlington
Quercus bicolor,0,35240451,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
Quercus rubra,0,35240431,,
Prunus serotina,55,,,
Prunus serotina,45,,,
Quercus × warei 'Long' 'Regal Prince',0,35240359,5370223.05,Burlington
Betula nigra 'Heritage',0,35240318,5370223.07,Burlington
Tilia tomentosa,0,35240440,5370212.00,Burlington
Tilia tomentosa,0,35240440,5370212.00,Burlington
Betula nigra 'Heritage',0,35240440,5370212.00,Burlington
Acer rubrum 'Redpointe',0,35240440,5370212.00,Burlington
Ginkgo biloba 'Autumn Gold',0,35240440,5370212.00,Burlington
Tilia tomentosa,0,35240440,5370212.00,Burlington
Tilia tomentosa,0,35240440,5370212.00,Burlington
Ginkgo biloba,0,35240440,5370212.00,Burlington
Betula nigra 'Heritage',0,35240440,5370212.00,Burlington
Ginkgo biloba,0,35240440,5370212.00,Burlington
Ginkgo biloba 'Autumn Gold',0,35240440,5370212.00,Burlington
Ulmus parvifolia,0,35240521,5370219.00,Burlington
Cornus florida 'Cherokee Chief',0,35240521,5370219.00,Burlington
Liriodendron tulipifera,0,35240359,5370223.05,Burlington
Betula nigra 'Heritage',0,35240359,5370223.05,Burlington
Liriodendron tulipifera,0,35240359,5370223.05,Burlington
Betula nigra 'Heritage',0,35240357,5370223.05,Burlington
Liquidambar styraciflua,0,35240357,5370223.05,Burlington
Betula nigra 'Heritage',0,35240357,5370223.05,Burlington
Liquidambar styraciflua,0,35240359,5370223.05,Burlington
Liriodendron tulipifera,0,35240359,5370223.05,Burlington
Fraxinus,32,35240539,5370205.01,Burlington
Fraxinus,50,35240539,5370205.01,Burlington
Fraxinus,35,35240539,5370205.01,Burlington
Fraxinus,45,35240539,5370205.01,Burlington
Fraxinus,30,35240539,5370205.01,Burlington
Fraxinus,55,35240539,5370205.01,Burlington
Fraxinus,35,35240539,5370205.01,Burlington
Fraxinus,38,35240539,5370205.01,Burlington
Fraxinus,42,35240539,5370205.01,Burlington
Fraxinus,35,35240539,5370205.01,Burlington
Fraxinus,36,35240539,5370205.01,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
Acer platanoides,24,35240449,5370211.00,Burlington
,0,35240449,5370211.00,Burlington
Cercidiphyllum japonicum,0,35240332,5370210.00,Burlington
Parrotia persica,0,35240406,5370201.00,Burlington
Ginkgo biloba,0,35240446,5370206.00,Burlington
Ulmus parvifolia,0,35240446,5370206.00,Burlington
Ulmus parvifolia,0,35240446,5370206.00,Burlington
Aesculus glabra,0,35240374,5370207.02,Burlington
Ulmus 'Homestead',0,35240951,5370205.02,Burlington
Platanus occidentalis,0,35240951,5370205.02,Burlington
Liquidambar styraciflua,0,35240950,5370205.02,Burlington
,0,35240335,5370208.00,Burlington
Quercus × warei 'Long' 'Regal Prince',0,35240359,5370223.05,Burlington
Platanus occidentalis,0,35240666,5370223.10,Burlington
Liriodendron tulipifera,0,35240482,5370217.02,Burlington
,0,35240467,5370216.00,Burlington
Parrotia persica,0,35240535,5370211.00,Burlington
Cercis canadensis 'Appalachian Red',0,35240470,5370216.00,Burlington
Amelanchier,0,35240470,5370216.00,Burlington
Cercis canadensis 'Appalachian Red',0,35240470,5370216.00,Burlington
Cornus alternifolia,0,35240505,5370220.00,Burlington
