Botanical Name,DBH,DAUID,CTUID,City
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
SORBUS AMERICANA ,44,48061163,8250036.02,Calgary
LARIX SIBIRICA ,5,48062519,8250038.36,Calgary
ULMUS AMERICANA BRANDON,13,48062632,8250077.38,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
LARIX SIBIRICA ,5,48062519,8250038.36,Calgary
POPULUS BALSAMIFERA ,5,48062519,8250038.36,Calgary
MALUS ,16,48060130,8250055,Calgary
prunus pensylvanica MARY LISS,5,48062519,8250038.36,Calgary
SORBUS AUCUPARIA ,54,48061160,8250036.02,Calgary
ULMUS AMERICANA PATMORE,5,48062519,8250038.36,Calgary
PICEA GLAUCA ,46,48061042,8250038.12,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
FRAXINUS PENNSYLVANICA ,12,48061043,8250038.23,Calgary
POPULUS ,55,48060629,8250030,Calgary
ULMUS AMERICANA BRANDON,11,48062632,8250077.38,Calgary
POPULUS ,39,48060629,8250030,Calgary
ULMUS AMERICANA PATMORE,5,48062519,8250038.36,Calgary
POPULUS BALSAMIFERA ,53,48060901,8250034,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
prunus pensylvanica MARY LISS,5,48062519,8250038.36,Calgary
POPULUS BALSAMIFERA ,49,48060901,8250034,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
LARIX SIBIRICA ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
LARIX SIBIRICA ,5,48062519,8250038.36,Calgary
POPULUS ,88,48061190,8250033.02,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,45,48061055,8250038.12,Calgary
POPULUS ,45,48060300,8250052.02,Calgary
POPULUS ,59,48060629,8250030,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
PRUNUS VIRGINIANA SCHUBERT,23,48060632,8250032,Calgary
POPULUS ,61,48060563,8250029,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
POPULUS BALSAMIFERA ,49,48060901,8250034,Calgary
PICEA PUNGENS GLAUCA,44,48061051,8250038.12,Calgary
SYRINGA RETICULATA ,13,48061040,8250038.12,Calgary
PICEA PUNGENS ,36,48061054,8250038.12,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
POPULUS ,63,48060629,8250030,Calgary
POPULUS BALSAMIFERA ,32,48060901,8250034,Calgary
FRAXINUS PENNSYLVANICA ,9,48061040,8250038.12,Calgary
POPULUS BALSAMIFERA ,51,48060901,8250034,Calgary
POPULUS BALSAMIFERA ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
QUERCUS MACROCARPA ,6,48061043,8250038.23,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
POPULUS BALSAMIFERA ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
POPULUS ,62,48061038,8250038.23,Calgary
POPULUS BALSAMIFERA ,37,48060901,8250034,Calgary
PICEA GLAUCA ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,45,48061041,8250038.23,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
POPULUS ,85,48060617,8250028,Calgary
PICEA GLAUCA ,5,48062519,8250038.36,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
POPULUS ,37,48060629,8250030,Calgary
ULMUS AMERICANA ,5,48061044,8250038.23,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
MALUS ADSTRINGENS THUNDERCHILD,4,48060857,8250059,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
POPULUS ,40,48061314,8250001.02,Calgary
QUERCUS MACROCARPA ,10,48061048,8250038.23,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
LARIX SIBIRICA ,43,48061038,8250038.23,Calgary
POPULUS BALSAMIFERA ,50,48060901,8250034,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
PICEA PUNGENS ,5,48062519,8250038.36,Calgary
prunus pensylvanica MARY LISS,5,48062519,8250038.36,Calgary
MALUS ,22,48061635,8250002.08,Calgary
ULMUS AMERICANA BRANDON,5,48062519,8250038.36,Calgary
POPULUS TREMULOIDES ,5,48062519,8250038.36,Calgary
ACER NEGUNDO ,61,48062741,8250018.01,Calgary
