Botanical Name,DBH,DAUID,CTUID,City
Tilia,25,48110354,8350070.00,Edmonton
Sorbus,85,48110126,8350043.00,Edmonton
Aesculus glabra,8,48112645,8350104.77,Edmonton
Fraxinus,16,48110841,8350015.02,Edmonton
Sorbus,20,48111281,8350024.02,Edmonton
Picea glauca,40,48112740,8350062.02,Edmonton
Tilia,12,48110823,8350036.00,Edmonton
Tilia,31,48111329,8350005.09,Edmonton
Tilia,29,48110977,8350005.09,Edmonton
Tilia,22,48111008,8350006.18,Edmonton
Tilia,31,48111001,8350007.02,Edmonton
Tilia,23,48111544,8350078.12,Edmonton
Ulmus americana Brandon,6,48110813,8350039.00,Edmonton
Ulmus americana Brandon,15,48112572,8350104.53,Edmonton
Acer tataricum Hot Wings,6,48112696,8350079.10,Edmonton
Malus baccata Starlite,8,48111161,8350006.01,Edmonton
Picea pungens,50,48110906,8350002.01,Edmonton
Populus tremuloides,6,48112737,8350079.18,Edmonton
Fraxinus pennsylvanica,12,48112704,8350078.24,Edmonton
Crataegus x mordenensis Toba,6,48111536,8350030.00,Edmonton
Ulmus americana Brandon,6,48112592,8350104.59,Edmonton
Syringa reticulata Ivory Silk,6,48112592,8350104.59,Edmonton
Ulmus americana Brandon,13,48112585,8350104.57,Edmonton
Quercus macrocarpa,6,48112535,8350104.42,Edmonton
Tilia x flavescens Dropmore,6,48112335,8350079.08,Edmonton
Tilia x flavescens Dropmore,5,48110359,8350061.00,Edmonton
Quercus alba,6,48111503,8350002.04,Edmonton
Ulmus americana,29,48112801,8350078.06,Edmonton
Ulmus americana Brandon,6,48112568,8350104.52,Edmonton
sorbus aucuparia Rossica,5,48112107,8350018.00,Edmonton
Aesculus glabra,5,48112221,8350104.40,Edmonton
Tilia x flavescens Dropmore,6,48112722,8350079.12,Edmonton
Syringa reticulata Ivory Silk,6,48112505,8350078.19,Edmonton
Syringa reticulata Ivory Silk,6,48112696,8350079.10,Edmonton
Ulmus americana Brandon,6,48112839,8350006.06,Edmonton
Tilia cordata Greenspire,6,48112726,8350079.13,Edmonton
Tilia x flavescens Dropmore,6,48110160,8350030.00,Edmonton
Fraxinus pennsylvanica,15,48110958,8350001.07,Edmonton
Acer tataricum Hot Wings,7,48111332,8350001.02,Edmonton
Quercus macrocarpa,6,48112505,8350078.19,Edmonton
Acer tataricum Hot Wings,8,48111332,8350001.02,Edmonton
Quercus macrocarpa,6,48112592,8350104.59,Edmonton
Ulmus americana Brandon,12,48112563,8350104.49,Edmonton
Picea glauca,13,48112550,8350104.20,Edmonton
Tilia x flavescens Dropmore,6,48112622,8350104.64,Edmonton
Fraxinus pennsylvanica,29,48110215,8350044.00,Edmonton
Quercus macrocarpa,6,48112807,8350075.12,Edmonton
Ulmus americana Brandon,9,48112472,8350140.14,Edmonton
Syringa reticulata Ivory Silk,6,48112592,8350104.59,Edmonton
Syringa reticulata Snowdance,5,48112587,8350104.59,Edmonton
Tilia cordata Corinthian,6,48112722,8350079.12,Edmonton
Tilia x flavescens Dropmore,5,48110748,8350017.00,Edmonton
Syringa reticulata Ivory Silk,6,48112643,8350104.76,Edmonton
Quercus macrocarpa,6,48112696,8350079.10,Edmonton
Ulmus americana,6,48112335,8350079.08,Edmonton
Fraxinus pennsylvanica,7,48112559,8350104.47,Edmonton
Tilia x flavescens Dropmore,6,48112647,8350104.75,Edmonton
Quercus macrocarpa,6,48112733,8350079.16,Edmonton
Picea pungens,5,48112737,8350079.18,Edmonton
Fraxinus pennsylvanica Summit,11,48112665,8350104.74,Edmonton
Tilia x flavescens Dropmore,6,48112645,8350104.77,Edmonton
Picea pungens,3,48111284,8350023.00,Edmonton
Fraxinus pennsylvanica,23,48110259,8350068.02,Edmonton
Acer negundo,24,48112292,8350033.02,Edmonton
Malus x adstringens Thunderchild,6,48112732,8350079.14,Edmonton
Ulmus americana,14,48110208,8350046.00,Edmonton
Syringa reticulata Ivory Silk,6,48110957,8350001.06,Edmonton
Fraxinus pennsylvanica,25,48112704,8350078.24,Edmonton
Sorbus decora,6,48112659,8350104.72,Edmonton
Sorbus decora,6,48112659,8350104.72,Edmonton
Quercus macrocarpa,6,48111463,8350076.01,Edmonton
Syringa reticulata Ivory Silk,7,48110936,8350001.02,Edmonton
Prunus virginiana Schubert,6,48112643,8350104.76,Edmonton
Syringa reticulata Ivory Silk,7,48111332,8350001.02,Edmonton
Ulmus americana Brandon,6,48111310,8350012.02,Edmonton
Quercus macrocarpa,6,48112720,8350079.11,Edmonton
Prunus virginiana Midnight Schubert,6,48112732,8350079.14,Edmonton
Syringa reticulata Ivory Silk,7,48111332,8350001.02,Edmonton
Sorbus,7,48110813,8350039.00,Edmonton
Acer ginnala,13,48112704,8350078.24,Edmonton
Ulmus americana Brandon,6,48112659,8350104.72,Edmonton
Acer ginnala,41,48112704,8350078.24,Edmonton
Picea glauca,6,48112737,8350079.18,Edmonton
Tilia cordata Greenspire,6,48112659,8350104.72,Edmonton
Aesculus glabra,6,48112644,8350104.77,Edmonton
Tilia x flavescens Dropmore,6,48112622,8350104.64,Edmonton
Quercus macrocarpa,6,48112733,8350079.16,Edmonton
Quercus macrocarpa Cobblestone,6,48112643,8350104.76,Edmonton
Ulmus americana Brandon,6,48112535,8350104.42,Edmonton
Prunus virginiana Midnight Schubert,6,48112622,8350104.64,Edmonton
Prunus nigra Princess Kay,6,48112592,8350104.59,Edmonton
Ulmus americana Brandon,6,48110187,8350048.00,Edmonton
Acer x freemanii Autumn Blaze,6,48112733,8350079.16,Edmonton
Syringa reticulata Ivory Silk,6,48112622,8350104.64,Edmonton
Acer negundo,3,48111181,8350026.01,Edmonton
Quercus macrocarpa,6,48112329,8350078.12,Edmonton
larix sibirica,6,48111454,8350073.00,Edmonton
Ulmus americana,15,48110270,8350078.02,Edmonton
Acer ginnala,6,48112460,8350140.12,Edmonton
Ulmus americana Brandon,6,48112290,8350033.01,Edmonton
Quercus macrocarpa,6,48110854,8350012.01,Edmonton
Ulmus americana Brandon,6,48112473,8350140.14,Edmonton
Ulmus americana Brandon,6,48112416,8350104.69,Edmonton
Tilia x flavescens Dropmore,6,48112622,8350104.64,Edmonton
Fraxinus pennsylvanica,8,48110228,8350054.01,Edmonton
Malus baccata Spring Snow,6,48110900,8350002.01,Edmonton
Syringa reticulata,6,48110201,8350031.00,Edmonton
Tilia cordata Morden,5,48110114,8350061.00,Edmonton
Tilia cordata,6,48110657,8350090.06,Edmonton
Acer tataricum Hot Wings,5,48112114,8350016.01,Edmonton
Tilia americana True North,6,48112695,8350079.09,Edmonton
Salix pentandra,25,48112594,8350104.60,Edmonton
Fraxinus pennsylvanica,17,48112704,8350078.24,Edmonton
Malus baccata Starlite,6,48112661,8350104.72,Edmonton
Tilia x flavescens Dropmore,6,48112662,8350104.74,Edmonton
Acer x freemanii Autumn Blaze,6,48112732,8350079.14,Edmonton
Acer ginnala,21,48112704,8350078.24,Edmonton
Acer negundo,15,48110840,8350015.02,Edmonton
Pinus sylvestris,14,48112545,8350104.20,Edmonton
larix sibirica,6,48112732,8350079.14,Edmonton
Ulmus americana Brandon,6,48112505,8350078.19,Edmonton
Tilia cordata Greenspire,6,48110358,8350061.00,Edmonton
Malus x adstringens Courageous,5,48112764,8350047.00,Edmonton
Salix,55,48112704,8350078.24,Edmonton
Aesculus glabra,6,48110907,8350001.03,Edmonton
Ulmus americana Brandon,12,48112563,8350104.49,Edmonton
Tilia x flavescens Dropmore,6,48110172,8350031.00,Edmonton
Fraxinus pennsylvanica Summit,11,48112665,8350104.74,Edmonton
Quercus macrocarpa,6,48112661,8350104.72,Edmonton
Fraxinus pennsylvanica Patmore,6,48112726,8350079.13,Edmonton
Crataegus x mordenensis Snowbird,6,48112567,8350104.51,Edmonton
Quercus macrocarpa,6,48110663,8350090.13,Edmonton
Aesculus x Prairie Torch,6,48112659,8350104.72,Edmonton
Quercus macrocarpa,7,48112390,8350079.19,Edmonton
Ulmus americana Brandon,6,48112473,8350140.14,Edmonton
Tilia americana,6,48111294,8350021.00,Edmonton
Ulmus americana Brandon,6,48112694,8350079.09,Edmonton
Tilia cordata,8,48111297,8350021.00,Edmonton
Malus x adstringens Gladiator,6,48112667,8350104.70,Edmonton
Picea glauca,11,48110786,8350037.00,Edmonton
Picea pungens,36,48111325,8350010.00,Edmonton
Syringa reticulata Ivory Silk,6,48112505,8350078.19,Edmonton
Tilia cordata,6,48112664,8350104.74,Edmonton
Quercus macrocarpa,5,48112565,8350104.50,Edmonton
Fraxinus pennsylvanica,27,48112704,8350078.24,Edmonton
Acer saccharinum,6,48112764,8350047.00,Edmonton
Ulmus pumila,8,48112493,8350140.13,Edmonton
Picea abies,32,48110190,8350047.00,Edmonton
Picea pungens,5,48112737,8350079.18,Edmonton
Fraxinus pennsylvanica Summit,29,48110100,8350057.00,Edmonton
Ulmus americana Brandon,6,48112721,8350079.11,Edmonton
Ulmus americana Brandon,6,48112592,8350104.59,Edmonton
Acer ginnala,36,48112704,8350078.24,Edmonton
Quercus macrocarpa,5,48112561,8350104.46,Edmonton
Tilia cordata Summer Sprite,6,48111299,8350021.00,Edmonton
Ulmus americana Brandon,6,48110921,8350001.03,Edmonton
Quercus macrocarpa,8,48112693,8350079.08,Edmonton
Prunus virginiana Schubert,15,48110846,8350015.01,Edmonton
Malus x adstringens Gladiator,6,48112664,8350104.74,Edmonton
Ulmus americana Brandon,6,48112732,8350079.14,Edmonton
Ulmus americana Brandon,6,48110813,8350039.00,Edmonton
Syringa reticulata subsp. pekinensis Summer Charm,6,48111521,8350104.25,Edmonton
Pinus cembra,6,48112733,8350079.16,Edmonton
Malus x adstringens Gladiator,5,48110841,8350015.02,Edmonton
Quercus macrocarpa,9,48111161,8350006.01,Edmonton
Quercus macrocarpa,6,48112698,8350078.22,Edmonton
Salix,23,48112704,8350078.24,Edmonton
Quercus macrocarpa,6,48112472,8350140.14,Edmonton
Tilia cordata Greenspire,6,48112653,8350104.70,Edmonton
Quercus macrocarpa,6,48112535,8350104.42,Edmonton
Alnus hirsuta Harbin,6,48112568,8350104.52,Edmonton
Ulmus americana,20,48112848,8350033.01,Edmonton
Ulmus americana Brandon,11,48112572,8350104.53,Edmonton
Tilia americana Redmond,6,48112731,8350079.14,Edmonton
Tilia cordata Greenspire,6,48112659,8350104.72,Edmonton
Tilia x flavescens Dropmore,6,48112662,8350104.74,Edmonton
