Botanical Name,DBH,DAUID,CTUID,City
Prunus pensylvanica,5,13100304,,
Quercus rubra,44.5,13100304,,
Quercus rubra,74.5,13100304,,
Acer rubrum 'Katie Cole',59.40000153,13100304,,
Pinus strobus,61.40000153,13100304,,
Acer platanoides,44.5,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,37.90000153,13100305,3200009.00,Fredericton
Acer rubrum 'Katie Cole',49.5,13100305,3200009.00,Fredericton
Acer platanoides,51.40000153,13100305,3200009.00,Fredericton
Acer saccharum,29.60000038,13100305,3200009.00,Fredericton
Acer rubrum 'Katie Cole',16.20000076,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,28.79999924,13100305,3200009.00,Fredericton
Acer platanoides,51.40000153,13100305,3200009.00,Fredericton
Acer platanoides,45.70000076,13100305,3200009.00,Fredericton
Acer platanoides,44.29999924,13100305,3200009.00,Fredericton
Picea glauca,34.20000076,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,37.29999924,13100305,3200009.00,Fredericton
Acer rubrum 'Katie Cole',22.20000076,13100305,3200009.00,Fredericton
Acer platanoides,34.5,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,18.5,13100305,3200009.00,Fredericton
Acer platanoides,33.70000076,13100305,3200009.00,Fredericton
Acer platanoides,37.20000076,13100305,3200009.00,Fredericton
Acer platanoides,47.09999847,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,20.79999924,13100305,3200009.00,Fredericton
Acer platanoides,46.29999924,13100305,3200009.00,Fredericton
Acer platanoides,42.70000076,13100305,3200009.00,Fredericton
Acer platanoides,34,13100305,3200009.00,Fredericton
Acer saccharum,2.5999999,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,29.5,13100305,3200009.00,Fredericton
Acer platanoides,40.40000153,13100305,3200009.00,Fredericton
Acer rubrum 'Katie Cole',32.79999924,13100305,3200009.00,Fredericton
Acer platanoides,39,13100305,3200009.00,Fredericton
Acer saccharum,47.29999924,13100305,3200009.00,Fredericton
Acer platanoides,54,13100305,3200009.00,Fredericton
Quercus rubra,24.70000076,13100305,3200009.00,Fredericton
Acer platanoides,60.70000076,13100305,3200009.00,Fredericton
Acer saccharum,35.40000153,13100305,3200009.00,Fredericton
Pinus strobus,45,13100305,3200009.00,Fredericton
Acer platanoides,49.90000153,13100305,3200009.00,Fredericton
Fraxinus pennsylvanica,31.5,13100305,3200009.00,Fredericton
Acer platanoides,36.70000076,13100305,3200009.00,Fredericton
Acer platanoides,45.5,13100305,3200009.00,Fredericton
Acer platanoides,35.79999924,13100305,3200009.00,Fredericton
Betula populifolia,13.10000038,13100305,3200009.00,Fredericton
Acer saccharum,24,13100303,3200009.00,Fredericton
