Botanical Name,DBH,DAUID,CTUID,City
Acer saccharum,31,35230202,5500001.02,Guelph
Acer saccharum,20,35230202,5500001.02,Guelph
Acer saccharum,28,35230202,5500001.02,Guelph
Acer saccharum,26,35230202,5500001.02,Guelph
Acer saccharum,28,35230202,5500001.02,Guelph
Acer saccharum,24,35230203,5500001.02,Guelph
Acer saccharum,26,35230203,5500001.02,Guelph
Acer saccharum,17,35230203,5500001.02,Guelph
Acer saccharum,26,35230203,5500001.02,Guelph
Acer saccharum,28,35230203,5500001.02,Guelph
Quercus robur,8,35230203,5500001.02,Guelph
Quercus rubra,24,35230203,5500001.02,Guelph
Acer saccharinum,5,35230202,5500001.02,Guelph
Pinus strobus,10,35230203,5500001.02,Guelph
Fraxinus,24,35230202,5500001.02,Guelph
Betula papyrifera,8,35230202,5500001.02,Guelph
Acer ginnala,23,35230179,5500001.02,Guelph
Acer ginnala,12,35230179,5500001.02,Guelph
Cedrus,12,35230202,5500001.02,Guelph
Cedrus,6,35230202,5500001.02,Guelph
Cedrus,7,35230202,5500001.02,Guelph
Cedrus,15,35230202,5500001.02,Guelph
Cedrus,6,35230202,5500001.02,Guelph
Cedrus,6,35230202,5500001.02,Guelph
Cedrus,15,35230202,5500001.02,Guelph
Cedrus,14,35230202,5500001.02,Guelph
Cedrus,3,35230202,5500001.02,Guelph
Cedrus,999,35230202,5500001.02,Guelph
Cedrus,13,35230202,5500001.02,Guelph
Acer saccharum,13,35230495,5500001.02,Guelph
Fraxinus pennsylvanica,22,35230203,5500001.02,Guelph
Fraxinus pennsylvanica,30,35230203,5500001.02,Guelph
Acer ginnala,14,35230496,5500001.02,Guelph
Acer platanoides,16,35230496,5500001.02,Guelph
Sorbus,9,35230497,5500001.02,Guelph
Acer saccharinum,9,35230496,5500001.02,Guelph
Syringa reticulata 'Ivory Silk',11,35230496,5500001.02,Guelph
Acer platanoides,5,35230496,5500001.02,Guelph
Picea pungens,14,35230496,5500001.02,Guelph
Acer platanoides,13,35230497,5500001.02,Guelph
Acer ginnala,15,35230497,5500001.02,Guelph
Acer ginnala,13,35230497,5500001.02,Guelph
Acer 'Keithsform',0,35230497,5500001.02,Guelph
Morus,9,35230496,5500001.02,Guelph
Acer platanoides,19,35230496,5500001.02,Guelph
Acer platanoides 'Crimson King',7,35230496,5500001.02,Guelph
Acer ginnala,13,35230496,5500001.02,Guelph
Gymnocladus dioicus,5,35230497,5500001.02,Guelph
Pyrus 'Navigator',12,35230497,5500001.02,Guelph
Ginkgo biloba,5,35230497,5500001.02,Guelph
Pyrus 'Navigator',11,35230497,5500001.02,Guelph
Acer platanoides,16,35230497,5500001.02,Guelph
Amelanchier laevis,8,35230497,5500001.02,Guelph
Acer platanoides,17,35230497,5500001.02,Guelph
Acer platanoides,12,35230497,5500001.02,Guelph
Ginkgo biloba,5,35230497,5500001.02,Guelph
Ginkgo biloba,5,35230497,5500001.02,Guelph
Acer ginnala,12,35230497,5500001.02,Guelph
Acer platanoides,9,35230497,5500001.02,Guelph
Acer platanoides,15,35230497,5500001.02,Guelph
Acer platanoides,18,35230496,5500001.02,Guelph
Amelanchier laevis,10,35230496,5500001.02,Guelph
Cedrus,15,35230202,5500001.02,Guelph
Quercus rubra,17,35230202,5500001.02,Guelph
Carya tomentosa,37,35230202,5500001.02,Guelph
Picea pungens,30,35230202,5500001.02,Guelph
Picea pungens,33,35230202,5500001.02,Guelph
Quercus robur,23,35230202,5500001.02,Guelph
Quercus robur,20,35230202,5500001.02,Guelph
Fagus sylvatica,5,35230202,5500001.02,Guelph
Tsuga,4,35230202,5500001.02,Guelph
Juniperus,5,35230202,5500001.02,Guelph
Acer platanoides,36,35230202,5500001.02,Guelph
Juniperus,16,35230202,5500001.02,Guelph
Juniperus,5,35230202,5500001.02,Guelph
Acer ginnala,10,35230179,5500001.02,Guelph
Acer platanoides,33,35230496,5500001.02,Guelph
