Botanical Name,DBH,DAUID,CTUID,City
ACPL,4,12090479,2050019.00,Halifax
ULS,6,12090324,2050013.00,Halifax
UNO,3,12090256,2050015.00,Halifax
ULAM,6,12090479,2050019.00,Halifax
AC,7,12090246,2050013.00,Halifax
AC,5,12090246,2050013.00,Halifax
UNO,2,12090262,2050014.00,Halifax
AC,4,12090939,2050023.00,Halifax
UNO,2,12090263,2050014.00,Halifax
UNO,4,12090262,2050014.00,Halifax
PIMA,3,12090244,2050018.00,Halifax
TITO,4,12090245,2050018.00,Halifax
AC,5,12090882,2050023.00,Halifax
ULAM,5,12090874,2050011.00,Halifax
AC,5,12090881,2050023.00,Halifax
UNO,4,12090255,2050016.00,Halifax
UNO,4,12090325,2050013.00,Halifax
UNO,2,12090939,2050023.00,Halifax
PI1,3,12090245,2050018.00,Halifax
ACPL,5,12090479,2050019.00,Halifax
PI1,3,12090254,2050015.00,Halifax
TITO,5,12090875,2050011.00,Halifax
AC,5,12090244,2050018.00,Halifax
UNO,3,12090263,2050014.00,Halifax
QU,4,12090248,2050013.00,Halifax
AC,4,12090565,2050018.00,Halifax
AC,4,12090962,2050018.00,Halifax
UNO,1,12090500,2050024.00,Halifax
UNO,3,12090482,2050017.00,Halifax
UNO,3,12090482,2050017.00,Halifax
TITO,6,12090874,2050011.00,Halifax
UNO,4,12090939,2050023.00,Halifax
ACPL,5,12090245,2050018.00,Halifax
UNO,1,12090254,2050015.00,Halifax
UNO,3,12090245,2050018.00,Halifax
ACPL,5,12090326,2050012.00,Halifax
QURU,5,12090874,2050011.00,Halifax
AC,5,12090246,2050013.00,Halifax
UNO,2,12090730,2050002.00,Halifax
UNO,1,12090263,2050014.00,Halifax
GIBI,2,12090479,2050019.00,Halifax
ACPL,6,12090478,2050019.00,Halifax
TSCA,5,12090730,2050002.00,Halifax
ACPL,6,12090875,2050011.00,Halifax
AC,5,12090246,2050013.00,Halifax
UNO,2,12090255,2050016.00,Halifax
ULAM,6,12090874,2050011.00,Halifax
AC,3,12090251,2050014.00,Halifax
UNO,3,12090263,2050014.00,Halifax
QURU,5,12090875,2050011.00,Halifax
UNO,3,12090565,2050018.00,Halifax
ACPL,4,12090244,2050018.00,Halifax
GIBI,3,12090479,2050019.00,Halifax
UNO,5,12090247,2050013.00,Halifax
ACPL,3,12090245,2050018.00,Halifax
UNO,3,12090730,2050002.00,Halifax
UNO,2,12090478,2050019.00,Halifax
UNO,3,12090247,2050013.00,Halifax
AC,6,12090565,2050018.00,Halifax
UNO,4,12090253,2050015.00,Halifax
UNO,3,12090479,2050019.00,Halifax
UNO,2,12090730,2050002.00,Halifax
UNO,6,12090249,2050017.00,Halifax
AC,6,12090962,2050018.00,Halifax
UNO,4,12090241,2050018.00,Halifax
UNO,4,12090259,2050015.00,Halifax
AC,5,12090244,2050018.00,Halifax
AC,4,12090251,2050014.00,Halifax
ACPL,5,12090245,2050018.00,Halifax
UNO,1,12090254,2050015.00,Halifax
UNO,3,12091013,2050016.00,Halifax
