Botanical Name,DBH,DAUID,CTUID,City
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,8,59350229,9150017.00,Kelowna
Gleditsia triacanthos inermis,10,59350225,9150017.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,10,59350106,9150005.00,Kelowna
Fraxinus spp.,30,59350106,9150005.00,Kelowna
Fraxinus spp.,25,59350106,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Fraxinus spp.,20,59350106,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Fraxinus spp.,10,59350106,9150005.00,Kelowna
Fraxinus spp.,30,59350106,9150005.00,Kelowna
Fraxinus spp.,20,59350106,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Fraxinus spp.,25,59350106,9150005.00,Kelowna
Fraxinus spp.,25,59350106,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Fraxinus spp.,15,59350106,9150005.00,Kelowna
Acer spp.,8,59350080,9150016.00,Kelowna
Acer spp.,8,59350080,9150016.00,Kelowna
Acer spp.,8,59350080,9150016.00,Kelowna
Acer spp.,8,59350080,9150016.00,Kelowna
Acer spp.,10,59350080,9150016.00,Kelowna
Syringa spp.,5,59350107,9150005.00,Kelowna
Syringa spp.,5,59350107,9150005.00,Kelowna
Fraxinus spp.,10,59350106,9150005.00,Kelowna
Fraxinus spp.,25,59350106,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,13,59350107,9150005.00,Kelowna
Fraxinus spp.,10,59350107,9150005.00,Kelowna
Fraxinus spp.,18,59350107,9150005.00,Kelowna
Fraxinus spp.,18,59350107,9150005.00,Kelowna
Fraxinus spp.,5,59350107,9150005.00,Kelowna
Fraxinus spp.,5,59350107,9150005.00,Kelowna
Fraxinus spp.,23,59350107,9150005.00,Kelowna
Fraxinus pennsylvanica,13,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,13,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,10,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus spp.,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,18,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,18,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,13,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,30,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,13,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,28,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,15,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,25,59350102,9150005.00,Kelowna
Fraxinus pennsylvanica,20,59350102,9150005.00,Kelowna
Fraxinus spp.,20,59350101,9150005.00,Kelowna
Fraxinus spp.,20,59350101,9150005.00,Kelowna
Fraxinus spp.,25,59350101,9150005.00,Kelowna
Fraxinus spp.,25,59350101,9150005.00,Kelowna
Fraxinus spp.,10,59350101,9150005.00,Kelowna
Fraxinus spp.,10,59350101,9150005.00,Kelowna
Fraxinus spp.,20,59350101,9150005.00,Kelowna
Fraxinus spp.,30,59350101,9150005.00,Kelowna
Fraxinus spp.,25,59350101,9150005.00,Kelowna
Fraxinus spp.,20,59350101,9150005.00,Kelowna
Fraxinus spp.,20,59350101,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Prunus spp.,8,59350107,9150005.00,Kelowna
Prunus spp.,8,59350107,9150005.00,Kelowna
Prunus spp.,8,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,10,59350102,9150005.00,Kelowna
Fraxinus spp.,8,59350102,9150005.00,Kelowna
Fraxinus spp.,36,59350102,9150005.00,Kelowna
Fraxinus spp.,30,59350102,9150005.00,Kelowna
Fraxinus spp.,36,59350102,9150005.00,Kelowna
Fraxinus spp.,36,59350102,9150005.00,Kelowna
Fraxinus spp.,30,59350102,9150005.00,Kelowna
Fraxinus spp.,30,59350102,9150005.00,Kelowna
Fraxinus spp.,25,59350102,9150005.00,Kelowna
Fraxinus spp.,25,59350102,9150005.00,Kelowna
Fraxinus spp.,38,59350102,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,25,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,20,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350107,9150005.00,Kelowna
Fraxinus spp.,15,59350107,9150005.00,Kelowna
Acer spp.,15,59350107,9150005.00,Kelowna
Fraxinus spp.,30,59350102,9150005.00,Kelowna
Fraxinus spp.,40,59350102,9150005.00,Kelowna
Fraxinus spp.,18,59350102,9150005.00,Kelowna
