Botanical Name,DBH,DAUID,CTUID,City
Fraxinus pennsylvanica,44,35100321,5210100.02,Kingston
Fraxinus pennsylvanica,24,35100270,5210113.02,Kingston
Quercus alba,43,35100081,5210111.01,Kingston
Syringa reticulata,2,35100165,5210004.00,Kingston
Picea glauca,,35100237,5210112.03,Kingston
Cotinus coggygria,16,35100167,5210003.00,Kingston
Tilia cordata,16,35100321,5210100.02,Kingston
Acer platanoides,48,35100236,5210011.02,Kingston
Gleditsia triacanthos,31,35100144,5210015.00,Kingston
Juniperus virginiana L.,13,35100289,5210100.02,Kingston
Acer platanoides,57,35100141,5210015.00,Kingston
Tilia cordata,30,35100053,5210007.00,Kingston
Acer ginnala,4,35100186,5210008.00,Kingston
Celtis occidentalis,4,35100181,5210011.01,Kingston
Gleditsia triacanthos,8,35100048,5210012.00,Kingston
Acer rubrum,3,35100082,5210111.02,Kingston
Pinus strobus,41,35100289,5210100.02,Kingston
Acer platanoides,46,35100243,5210005.00,Kingston
Carya cordiformis,3,35100289,5210100.02,Kingston
Fraxinus pennsylvanica,43,35100321,5210100.02,Kingston
Quercus rubra,3,35100331,5210113.01,Kingston
Prunus serotina,28,35100325,5210110.00,Kingston
Sorbus x thuringiaca,5,35100058,5210006.00,Kingston
Prunus serotina,51,35100069,5210110.00,Kingston
Quercus rubra,3,35100321,5210100.02,Kingston
Carpinus betulus,5,35100275,5210013.00,Kingston
Acer platanoides,40,35100137,5210014.00,Kingston
Cercidiphyllum japonicum,4,35100282,5210011.01,Kingston
Magnolia spp.,6,35100089,5210111.02,Kingston
Pinus nigra,29,35100198,5210001.00,Kingston
Acer platanoides,40,35100152,5210006.00,Kingston
Tilia cordata,14,35100029,5210011.02,Kingston
Ginkgo biloba,3,35100069,5210110.00,Kingston
Celtis occidentalis,3,35100170,5210002.00,Kingston
Fraxinus spp.,22,35100272,5210113.02,Kingston
Amelanchier spp.,1,35100072,5210110.00,Kingston
Ulmus wilsoniana 'Prospector',10,35100048,5210012.00,Kingston
Juniperus virginiana L.,10,35100167,5210003.00,Kingston
Liriodendron tulipifera,4,35100069,5210110.00,Kingston
Acer saccharum,18,35100321,5210100.02,Kingston
Catalpa speciosa,67,35100032,5210011.02,Kingston
Tilia cordata,42,35100242,5210111.02,Kingston
Acer ginnala,12,35100115,5210112.07,Kingston
Sorbus x thuringiaca,10,35100051,5210012.00,Kingston
Picea pungens,21,35100079,5210111.01,Kingston
Acer saccharinum,132,35100056,5210007.00,Kingston
Stump,40,35100321,5210100.02,Kingston
Betula papyrifera,41,35100243,5210005.00,Kingston
Acer saccharum,45,35100130,5210110.00,Kingston
Fraxinus pennsylvanica,43,35100282,5210011.01,Kingston
Acer platanoides,39,35100073,5210110.00,Kingston
Tilia cordata,31,35100089,5210111.02,Kingston
Acer x freemanii 'Celzam',4,35100052,5210008.00,Kingston
Ulmus americana,102,35100057,5210007.00,Kingston
Tilia cordata,15,35100321,5210100.02,Kingston
Gleditsia triacanthos,33,35100106,5210112.06,Kingston
Quercus macrocarpa,4,35100317,5210113.01,Kingston
Ulmus americana,,35100144,5210015.00,Kingston
Tilia cordata,37,35100177,5210010.00,Kingston
Acer rubrum,52,35100079,5210111.01,Kingston
Pyrus calleryana 'Chanticleer',5,35100174,5210009.00,Kingston
Acer negundo,23,35100282,5210011.01,Kingston
Juniperus virginiana L.,10,35100167,5210003.00,Kingston
Celtis occidentalis,5,35100148,5210005.00,Kingston
Gleditsia triacanthos,18,35100089,5210111.02,Kingston
Tilia cordata,49,35100282,5210011.01,Kingston
Acer negundo,20,35100088,5210110.00,Kingston
,,35100186,5210008.00,Kingston
Acer platanoides,15,35100134,5210110.00,Kingston
Tilia cordata,30,35100321,5210100.02,Kingston
Betula papyrifera,52,35100081,5210111.01,Kingston
Picea glauca,24,35100063,5210014.00,Kingston
Gleditsia triacanthos,10,35100057,5210007.00,Kingston
Acer saccharum,32,35100106,5210112.06,Kingston
Populus deltoides,15,35100331,5210113.01,Kingston
Gleditsia triacanthos var. inermis 'Skyline',4,35100142,5210015.00,Kingston
Tilia cordata,21,35100106,5210112.06,Kingston
Acer platanoides,34,35100321,5210100.02,Kingston
Acer saccharum,26,35100124,5210113.01,Kingston
Quercus rubra,3,35100275,5210013.00,Kingston
Picea pungens,44,35100083,5210111.01,Kingston
Acer platanoides,54,35100159,5210004.00,Kingston
Acer saccharinum,75,35100119,5210112.03,Kingston
Fraxinus pennsylvanica,43,35100282,5210011.01,Kingston
Acer rubrum,18,35100236,5210011.02,Kingston
Syringa reticulata,26,35100289,5210100.02,Kingston
Acer saccharinum,30,35100167,5210003.00,Kingston
Acer platanoides,33,35100193,5210001.00,Kingston
Acer saccharum,33,35100130,5210110.00,Kingston
Betula pendula,29,35100083,5210111.01,Kingston
Aesculus glabra,8,35100189,5210002.00,Kingston
Platanus x acerifolia,6,35100063,5210014.00,Kingston
Acer saccharinum,58,35100323,5210100.02,Kingston
Gleditsia triacanthos,50,35100153,5210006.00,Kingston
Tilia cordata,18,35100318,5210113.01,Kingston
Gleditsia triacanthos,36,35100331,5210113.01,Kingston
Quercus alba x robur,3,35100186,5210008.00,Kingston
Celtis occidentalis,8,35100069,5210110.00,Kingston
