Botanical Name,DBH,DAUID,CTUID,City
Acer platanoides,55,35300365,5410012.00,Kitchener
Syringa reticulata,7,35301031,5410001.05,Kitchener
Acer platanoides,50,35300404,5410015.00,Kitchener
Acer X freemanii 'Autumn Blaze',25,35300359,5410013.00,Kitchener
Amelanchier spp.,3,35300128,5410020.00,Kitchener
Amelanchier spp.,3,35300128,5410020.00,Kitchener
Amelanchier spp.,3,35300128,5410020.00,Kitchener
Acer platanoides,57,35300983,5410019.00,Kitchener
Acer nigrum 'Greencolumn',13,35300371,5410010.00,Kitchener
Syringa reticulata,7,35300846,5410021.00,Kitchener
Amelanchier spp.,5,35300136,5410018.00,Kitchener
Malus apple spp.,23,35300128,5410020.00,Kitchener
Celtis occidentalis,7,35300730,5410002.02,Kitchener
Tilia cordata spp.,51,35300128,5410020.00,Kitchener
Acer platanoides,48,35300983,5410019.00,Kitchener
Acer platanoides,44,35300128,5410020.00,Kitchener
Acer ginnala,18,35300883,5410001.05,Kitchener
Acer platanoides,46,35300982,5410019.00,Kitchener
Acer platanoides 'Globosum',21,35300454,5410005.01,Kitchener
Acer platanoides 'Globosum',21,35300192,5410002.06,Kitchener
Acer platanoides,59,35300983,5410019.00,Kitchener
Acer platanoides 'Globosum',20,35300402,5410015.00,Kitchener
Acer platanoides 'Globosum',24,35300843,5410021.00,Kitchener
Acer platanoides,33,35300982,5410019.00,Kitchener
Acer platanoides,87,35300982,5410019.00,Kitchener
Acer platanoides 'Globosum',4,35300402,5410015.00,Kitchener
Acer platanoides 'Globosum',24,35300390,5410016.00,Kitchener
Acer platanoides,36,35300982,5410019.00,Kitchener
Acer saccharinum,8,35301031,5410001.05,Kitchener
Acer platanoides,56,35300364,5410013.00,Kitchener
Acer platanoides 'Globosum',23,35300364,5410013.00,Kitchener
Quercus robur,11,35300922,5410002.13,Kitchener
Malus apple spp.,33,35300231,5410019.00,Kitchener
Acer platanoides,61,35300136,5410018.00,Kitchener
Acer platanoides,62,35300983,5410019.00,Kitchener
Acer saccharum,65,35300393,5410013.00,Kitchener
Acer platanoides 'Globosum',32,35300150,5410007.00,Kitchener
Acer platanoides,59,35300362,5410013.00,Kitchener
Acer platanoides 'Globosum',25,35300355,5410002.01,Kitchener
Acer ginnala,11,35300883,5410001.05,Kitchener
