Botanical Name,DBH,DAUID,CTUID,City
Tilia cordata,13,48020128,8100004.00,Lethbridge
Picea pungens,30,48020088,8100013.00,Lethbridge
Pinus mugo,12,48020088,8100013.00,Lethbridge
Pinus mugo,5,48020088,8100013.00,Lethbridge
Pinus mugo,5,48020088,8100013.00,Lethbridge
Malus,15,48020082,8100013.00,Lethbridge
Prunus virginiana 'Schubert',14,48020082,8100013.00,Lethbridge
Malus,11,48020082,8100013.00,Lethbridge
Fraxinus pennsylvanica,39,48020061,8100014.00,Lethbridge
Malus,11,48020082,8100013.00,Lethbridge
Prunus virginiana 'Schubert',17,48020082,8100013.00,Lethbridge
Malus,15,48020082,8100013.00,Lethbridge
Malus,15,48020082,8100013.00,Lethbridge
Malus,16,48020082,8100013.00,Lethbridge
Malus,14,48020082,8100013.00,Lethbridge
Prunus virginiana 'Schubert',19,48020082,8100013.00,Lethbridge
Malus,15,48020082,8100013.00,Lethbridge
Malus,12,48020082,8100013.00,Lethbridge
Malus,11,48020082,8100013.00,Lethbridge
Malus,11,48020082,8100013.00,Lethbridge
Malus,16,48020082,8100013.00,Lethbridge
Ulmus americana 'Brandon',11,48020088,8100013.00,Lethbridge
Tilia cordata,22,48020088,8100013.00,Lethbridge
Gleditsia triacanthos,4,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,43,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,52,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,50,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,53,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,53,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,47,48020061,8100014.00,Lethbridge
Fraxinus pennsylvanica,24,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,52,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,47,48020086,8100013.00,Lethbridge
Acer tataricum,40,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,43,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,61,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,46,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,56,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,40,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,48,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,44,48020061,8100014.00,Lethbridge
Fraxinus pennsylvanica,55,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,57,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,46,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,56,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,54,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,62,48020086,8100013.00,Lethbridge
Fraxinus pennsylvanica,38,48020061,8100014.00,Lethbridge
Aesculus 'Autumn Splendor',4,48020090,8100012.00,Lethbridge
Fraxinus pennsylvanica,43,48020061,8100014.00,Lethbridge
Fraxinus pennsylvanica,33,48020061,8100014.00,Lethbridge
Fraxinus pennsylvanica,47,48020061,8100014.00,Lethbridge
Syringa reticulata,10,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,46,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,47,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,50,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,41,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,35,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,57,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,36,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,36,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,52,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,53,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,55,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,48,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,61,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,61,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,59,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,52,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,50,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,43,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,43,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,39,48020078,8100014.00,Lethbridge
Fraxinus pennsylvanica,46,48020078,8100014.00,Lethbridge
Tilia x flavescens 'Dropmore',8,48020078,8100014.00,Lethbridge
Prunus virginiana 'Schubert',40,48020078,8100014.00,Lethbridge
Syringa reticulata,7,48020078,8100014.00,Lethbridge
Prunus virginiana 'Schubert',15,48020078,8100014.00,Lethbridge
Prunus virginiana 'Schubert',19,48020077,8100014.00,Lethbridge
Acer platanoides,7,48020077,8100014.00,Lethbridge
Prunus virginiana 'Schubert',20,48020068,8100014.00,Lethbridge
Prunus virginiana 'Schubert',26,48020068,8100014.00,Lethbridge
Quercus macrocarpa,8,48020081,8100016.02,Lethbridge
Fraxinus pennsylvanica,16,48020081,8100016.02,Lethbridge
Fraxinus pennsylvanica,11,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',11,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',10,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',12,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',13,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',15,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',13,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',16,48020081,8100016.02,Lethbridge
Ulmus americana 'Brandon',17,48020081,8100016.02,Lethbridge
Ulmus americana 'Brandon',17,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',8,48020081,8100016.02,Lethbridge
Fraxinus nigra 'Fallgold',11,48020081,8100016.02,Lethbridge
Fraxinus pennsylvanica,8,48020081,8100016.02,Lethbridge
Acer,7,48020081,8100016.02,Lethbridge
