Botanical Name,DBH,DAUID,CTUID,City
Sorbus aucuparia Cardinal Royal,0,59153982,9330400.04,Maple Ridge
Sorbus aucuparia Cardinal Royal,0,59153982,9330400.04,Maple Ridge
Sorbus aucuparia Cardinal Royal,0,59153982,9330400.04,Maple Ridge
Sorbus aucuparia Cardinal Royal,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Acer rubrum Bowhall,0,59153982,9330400.04,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Parrotia persica,6,59153998,9330404.02,Maple Ridge
Parrotia persica,6,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Parrotia persica,6,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus serrulata Kwanzan,0,59153998,9330404.02,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Prunus yedoensis Akebono,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Acer rubrum Morgan,0,59153982,9330400.04,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Nyssa sylvatica,6,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
Liquidambar styraciflua,0,59153998,9330404.02,Maple Ridge
