Botanical Name,DBH,DAUID,CTUID,City
LOHOOO,19,35211482,5350516.31,Mississauga
LOHOOO,32,35212050,5350516.31,Mississauga
MANOCO,17,35211513,5350516.44,Mississauga
MANOCO,15,35211513,5350516.44,Mississauga
MANOOO,31,35211979,5350516.44,Mississauga
MANOCO,21,35211979,5350516.44,Mississauga
MANOCO,23,35211979,5350516.44,Mississauga
MANOOO,25,35211979,5350516.44,Mississauga
PISCOO,15,35210666,5350528.13,Mississauga
MANOCO,19,35211979,5350516.44,Mississauga
MANOCO,16,35211513,5350516.44,Mississauga
PISCOO,20,35210666,5350528.13,Mississauga
PISCOO,24,35210666,5350528.13,Mississauga
LOHOOO,26,35210666,5350528.13,Mississauga
HWOOOO,8,35210242,5350550.01,Mississauga
HWOOOO,8,35210242,5350550.01,Mississauga
OLRUOO,14,35210242,5350550.01,Mississauga
OLRUOO,19,35210242,5350550.01,Mississauga
MASUOO,71,35211732,5350528.49,Mississauga
MAMAOO,26,35211731,5350528.40,Mississauga
OAENOO,24,35211979,5350516.44,Mississauga
SPCOGR,36,35210662,5350528.13,Mississauga
SPCOBL,15,35210662,5350528.13,Mississauga
SPCOBL,16,35210662,5350528.13,Mississauga
OAREOO,17,35210662,5350528.13,Mississauga
OAREOO,11,35210662,5350528.13,Mississauga
OAPIOO,17,35210662,5350528.13,Mississauga
APCRFL,11,35212081,5350516.25,Mississauga
APCRFL,12,35212081,5350516.25,Mississauga
APCRFL,12,35212081,5350516.25,Mississauga
MANOOO,20,35210662,5350528.13,Mississauga
OAENOO,22,35211978,5350516.43,Mississauga
SPNOOO,53,35211731,5350528.40,Mississauga
MANOOO,27,35211731,5350528.40,Mississauga
MANOOO,39,35211731,5350528.40,Mississauga
MANOOO,36,35211731,5350528.40,Mississauga
OAWHOO,76,35211731,5350528.40,Mississauga
SPNOOO,39,35211731,5350528.40,Mississauga
SPNOOO,43,35211731,5350528.40,Mississauga
MANOSC,18,35211476,5350516.37,Mississauga
OABUOO,54,35210249,5350528.33,Mississauga
MANOSC,26,35211476,5350516.37,Mississauga
MANOSC,20,35211476,5350516.37,Mississauga
MANOSC,20,35211476,5350516.37,Mississauga
MANOOO,15,35211476,5350516.37,Mississauga
MANOOO,12,35211476,5350516.37,Mississauga
MANOSC,25,35211476,5350516.37,Mississauga
MANOOO,15,35210662,5350528.13,Mississauga
LOHOOO,17,35210261,5350528.24,Mississauga
LOHOOO,14,35210261,5350528.24,Mississauga
LOHOOO,14,35210261,5350528.24,Mississauga
LOHOOO,13,35210261,5350528.24,Mississauga
SPCOBL,30,35212094,5350528.01,Mississauga
MANOOO,16,35210662,5350528.13,Mississauga
MANOOO,19,35210662,5350528.13,Mississauga
MANOOO,17,35210662,5350528.13,Mississauga
MANOOO,13,35210662,5350528.13,Mississauga
LOHOOO,18,35210261,5350528.24,Mississauga
LOHOOO,18,35210261,5350528.24,Mississauga
OABUOO,28,35210528,5350516.43,Mississauga
MANOOO,58,35211731,5350528.40,Mississauga
MANOOO,57,35211731,5350528.40,Mississauga
MANOOO,33,35211731,5350528.40,Mississauga
MUMOOO,9,35211731,5350528.40,Mississauga
MANOOO,33,35211731,5350528.40,Mississauga
MANOOO,67,35211731,5350528.40,Mississauga
MANOOO,54,35211731,5350528.40,Mississauga
MANOOO,57,35211731,5350528.40,Mississauga
LIOOOO,27,35210473,5350516.37,Mississauga
WABLOO,32,35211847,5350516.39,Mississauga
OAENOO,19,35211476,5350516.37,Mississauga
HWOOOO,7,35210618,5350550.02,Mississauga
HWOOOO,10,35210618,5350550.02,Mississauga
HWOOOO,11,35210618,5350550.02,Mississauga
HWOOOO,12,35210618,5350550.02,Mississauga
HWOOOO,14,35210618,5350550.02,Mississauga
SVOOOO,11,35210618,5350550.02,Mississauga
APCOOO,16,35210618,5350550.02,Mississauga
APCOOO,9,35210618,5350550.02,Mississauga
OAENOO,16,35211476,5350516.37,Mississauga
OAENOO,17,35211476,5350516.37,Mississauga
SPCOBL,17,35212120,5350516.02,Mississauga
SPCOBL,21,35212120,5350516.02,Mississauga
PISCOO,16,35212120,5350516.02,Mississauga
PISCOO,17,35212120,5350516.02,Mississauga
PISCOO,8,35212120,5350516.02,Mississauga
PISCOO,20,35212120,5350516.02,Mississauga
PISCOO,17,35212120,5350516.02,Mississauga
LOBLOO,8,35212120,5350516.02,Mississauga
LOBLOO,8,35212120,5350516.02,Mississauga
LOBLRO,16,35212120,5350516.02,Mississauga
LOBLOO,10,35212120,5350516.02,Mississauga
SPCOBL,24,35212120,5350516.02,Mississauga
SPCOBL,19,35212120,5350516.02,Mississauga
SPCOBL,24,35212120,5350516.02,Mississauga
SPCOBL,24,35212120,5350516.02,Mississauga
SPCOBL,21,35212120,5350516.02,Mississauga
