Botanical Name,DBH,DAUID,CTUID,City
GumBla,10,13070133,3050001.00,Moncton
LinLit,40,13070133,3050001.00,Moncton
LocHon,30,13070134,3050001.00,Moncton
LocHon,20,13070134,3050001.00,Moncton
GinBib,10,13070134,3050001.00,Moncton
LocHon,10,13070134,3050001.00,Moncton
LinLit,30,13070134,3050001.00,Moncton
LinLit,20,13070134,3050001.00,Moncton
HawEng,10,13070134,3050001.00,Moncton
MapRed,10,13070133,3050001.00,Moncton
MapRed,10,13070133,3050001.00,Moncton
MapRed,10,13070133,3050001.00,Moncton
RedEas,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
KenCof,10,13070133,3050001.00,Moncton
MapRed,10,13070133,3050001.00,Moncton
AshGre,10,13070133,3050001.00,Moncton
Hackberry,10,13070133,3050001.00,Moncton
LinLit,10,13070133,3050001.00,Moncton
MapNor,60,13070122,3050001.00,Moncton
MapMan,10,13070131,,
LinLit,10,13070131,,
MapNor,60,13070130,3050006.00,Moncton
MapNor,30,13070131,,
MapNor,20,13070131,,
Hackberry,30,13070122,3050001.00,Moncton
MapNor,20,13070125,3050007.00,Moncton
LilJap,20,13070126,3050007.00,Moncton
Hackberry,20,13070126,3050007.00,Moncton
MapRed,40,13070126,3050007.00,Moncton
GinBib,30,13070119,3050006.00,Moncton
LinLit,50,13070117,3050005.00,Moncton
MapRed,10,13070125,3050007.00,Moncton
MapNor,30,13070125,3050007.00,Moncton
LilJap,20,13070126,3050007.00,Moncton
LinLit,30,13070126,3050007.00,Moncton
MapRed,50,13070126,3050007.00,Moncton
Hackberry,10,13070126,3050007.00,Moncton
MapNor,70,13070125,3050007.00,Moncton
LinLit,20,13070132,3050006.00,Moncton
MapRed,40,13070120,3050005.00,Moncton
MapRed,30,13070120,3050005.00,Moncton
MapNor,20,13070120,3050005.00,Moncton
MapNor,70,13070121,3050005.00,Moncton
OakPin,40,13070120,3050005.00,Moncton
