Botanical Name,DBH,DAUID,CTUID,City
Fagus sylvatica 'Purpurea',5,24662984,4620288.00,Montreal
Morus alba,36,24662984,4620288.00,Montreal
Morus alba,26,24662984,4620288.00,Montreal
Morus alba,29,24662984,4620288.00,Montreal
Ostrya virginiana,5,24662984,4620288.00,Montreal
Gymnocladus dioicus,5,24662984,4620288.00,Montreal
Carya cordiformis,5,24662984,4620288.00,Montreal
Ulmus x 'Morton' (Accolade TM),5,24662984,4620288.00,Montreal
Ulmus x 'Morton' (Accolade TM),5,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Street Keeper',5,24662983,4620287.02,Montreal
Acer saccharum,119,24662983,4620287.02,Montreal
Acer nigrum,44,24662983,4620287.02,Montreal
Amelanchier x grandiflora 'Autumn Brillance',5,24662983,4620287.02,Montreal
Acer saccharum,68,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',22,24662983,4620287.02,Montreal
Acer saccharum,49,24662983,4620287.02,Montreal
Carpinus caroliniana,5,24662983,4620287.02,Montreal
Acer saccharum,58,24662983,4620287.02,Montreal
Acer saccharum,57,24662983,4620287.02,Montreal
Acer saccharum,54,24662983,4620287.02,Montreal
Amelanchier x grandiflora 'Ballerina',5,24662983,4620287.02,Montreal
Corylus colurna,5,24662983,4620287.02,Montreal
Acer saccharum,65,24662983,4620287.02,Montreal
Picea pungens,14,24662983,4620287.02,Montreal
Picea pungens,18,24662983,4620287.02,Montreal
Acer platanoides,34,24662983,4620287.02,Montreal
Ginkgo biloba 'Princeton Sentry',5,24662983,4620287.02,Montreal
Picea pungens,14,24662983,4620287.02,Montreal
Tilia cordata,17.6,24662983,4620287.02,Montreal
Acer platanoides 'Royal Red',6,24662983,4620287.02,Montreal
Syringa reticulata 'Ivory Silk',22,24662983,4620287.02,Montreal
cladrastis kentukea,5,24662983,4620287.02,Montreal
Catalpa speciosa,5,24662983,4620287.02,Montreal
Betula nigra 'Heritage',5,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Sunburst',23,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',30,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',35,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',36,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',34,24662983,4620287.02,Montreal
Gleditsia triacanthos 'Skyline',29,24662983,4620287.02,Montreal
Acer saccharum,47,24662983,4620287.02,Montreal
Ginkgo biloba,27,24662983,4620287.02,Montreal
Quercus robur,5,24662983,4620287.02,Montreal
Morus alba,57,24662475,4620287.02,Montreal
Morus alba,38,24662475,4620287.02,Montreal
Morus alba,34,24662475,4620287.02,Montreal
Syringa reticulata 'Ivory Silk',22,24662475,4620287.02,Montreal
Quercus macrocarpa,5,24662475,4620287.02,Montreal
Acer miyabei 'Morton' (State Street TM),5,24662475,4620287.02,Montreal
Ginkgo biloba 'Autumn Gold',5,24662475,4620287.02,Montreal
Acer miyabei 'Morton' (State Street TM),5,24662475,4620287.02,Montreal
Tilia cordata,68,24662475,4620287.02,Montreal
Tilia cordata,78,24662475,4620287.02,Montreal
Tilia cordata,56,24662475,4620287.02,Montreal
Tilia cordata,55,24662475,4620287.02,Montreal
Ulmus wilsoniana 'Prospector',5,24662471,4620287.02,Montreal
Fraxinus americana,30,24662471,4620287.02,Montreal
Ulmus americana 'New Harmony',5,24662471,4620287.02,Montreal
Acer saccharinum,42,24662471,4620287.02,Montreal
Catalpa speciosa,5,24662471,4620287.02,Montreal
Syringa reticulata 'Ivory Silk',5,24662471,4620287.02,Montreal
Ulmus americana 'New Harmony',5,24662471,4620287.02,Montreal
Gleditsia triacanthos 'Shademaster',5,24662471,4620287.02,Montreal
Carpinus betulus 'Fastigiata',5,24662471,4620287.02,Montreal
Tilia tomentosa 'Sterling',5,24662471,4620287.02,Montreal
Prunus,34,24662471,4620287.02,Montreal
Picea pungens 'Glauca',10,24662471,4620287.02,Montreal
Acer rubrum 'Red Sunset',5,24662471,4620287.02,Montreal
Ulmus x New Horizon,5,24662471,4620287.02,Montreal
Carya cordiformis,5,24662471,4620287.02,Montreal
Acer saccharinum 'Pyramidalis',5,24662471,4620287.02,Montreal
Pyrus ussuriensis 'Prairie Gem',5,24662471,4620287.02,Montreal
Pyrus ussuriensis 'Prairie Gem',5,24662554,4620283.01,Montreal
Ginkgo biloba,5,24662554,4620283.01,Montreal
Picea glauca,28,24662554,4620283.01,Montreal
Ulmus x 'Morton' (Accolade TM),6,24662554,4620283.01,Montreal
Picea pungens,28,24662554,4620283.01,Montreal
Gymnocladus dioicus,5,24662554,4620283.01,Montreal
Ulmus x 'Morton' (Accolade TM),5,24662557,4620283.02,Montreal
Gymnocladus dioicus,5,24662557,4620283.02,Montreal
Ulmus davidiana 'Discovery',5,24662557,4620283.02,Montreal
Ginkgo biloba,5,24662557,4620283.02,Montreal
Ulmus x 'Morton Glossy' (Triumph TM),5,24662557,4620283.02,Montreal
Gymnocladus dioicus,5,24662557,4620283.02,Montreal
Gymnocladus dioicus,5,24662557,4620283.02,Montreal
Ulmus x 'Morton' (Accolade TM),5,24662557,4620283.02,Montreal
Ginkgo biloba,5,24662557,4620283.02,Montreal
Ulmus pumila,89,24662557,4620283.02,Montreal
Gymnocladus dioicus,5,24662557,4620283.02,Montreal
