Botanical Name,DBH,DAUID,CTUID,City
Liquidambar styraciflua,,59152819,9330200.02,New Westminster
Magnolia cylindrica,,59152860,9330205.02,New Westminster
Acer griseum,,59152861,9330208.00,New Westminster
Carpinus caroliniana,,59152933,9330203.00,New Westminster
Acer pseudoplatanus,,59152950,9330204.02,New Westminster
Ginkgo biloba 'Magyar',,59152849,9330204.01,New Westminster
Acer rubrum,,59152958,9330208.00,New Westminster
Stewartia pseudocamellia,,59154066,9330200.01,New Westminster
Populus balsamifera var. trichocarpa,,59154066,9330200.01,New Westminster
Ginkgo biloba,,59154069,9330209.01,New Westminster
Cercidiphyllum japonicum,,59154069,9330209.01,New Westminster
Prunus serrulata,,59152848,9330204.01,New Westminster
Prunus emarginata,,59152887,9330208.00,New Westminster
 ,,59152836,9330207.00,New Westminster
Populus tremula,,59153524,9330200.02,New Westminster
Styrax japonicus,,59153524,9330200.02,New Westminster
Thuja plicata,,59152869,9330209.02,New Westminster
Betula utilis var. jacquemontii,,59152848,9330204.01,New Westminster
Fraxinus nigra,,59152947,9330203.00,New Westminster
syringa reticulata 'Ivory Silk',,59152921,9330204.02,New Westminster
Cladrastis lutea,,59152921,9330204.02,New Westminster
Fraxinus excelsior f. diversifolia,,59152930,9330203.00,New Westminster
Magnolia liliiflora x sprengeri var. diva,,59152930,9330203.00,New Westminster
Malus,,59153659,9330202.02,New Westminster
Acer rubrum,,59152832,9330206.00,New Westminster
 ,,59154069,9330209.01,New Westminster
Paulownia tomentosa,,59152879,9330210.00,New Westminster
Cercidiphyllum japonicum,,59152885,9330209.02,New Westminster
Prunus cerasifera,,59152869,9330209.02,New Westminster
Acer palmatum,,59152948,9330204.02,New Westminster
Hamamelis japonica,,59152860,9330205.02,New Westminster
 ,,59152860,9330205.02,New Westminster
Populus tremula,,59152832,9330206.00,New Westminster
Thuja plicata,,59153523,9330200.02,New Westminster
Acer platanoides,,59153524,9330200.02,New Westminster
Populus nigra 'Italica',,59154075,9330202.01,New Westminster
 ,,59154069,9330209.01,New Westminster
Prunus serrulata,,59152863,9330208.00,New Westminster
syringa reticulata 'Ivory Silk',,59152855,9330205.01,New Westminster
Hibiscus syriacus,,59152935,9330201.00,New Westminster
Acer palmatum 'Osakazuki',,59152863,9330208.00,New Westminster
Ginkgo biloba,,59152863,9330208.00,New Westminster
Magnolia kobus,,59154069,9330209.01,New Westminster
Quercus coccinea,,59153524,9330200.02,New Westminster
 ,,59152819,9330200.02,New Westminster
Cornus florida x kousa 'Stellar Pink (Rutgan)',,59152858,9330204.01,New Westminster
Acer platanoides,,59152860,9330205.02,New Westminster
Parrotia persica,,59152861,9330208.00,New Westminster
 ,,59152958,9330208.00,New Westminster
 ,,59152958,9330208.00,New Westminster
 ,,59154075,9330202.01,New Westminster
Populus balsamifera var. trichocarpa,,59154066,9330200.01,New Westminster
Koelreuteria paniculata,,59152821,9330200.02,New Westminster
Crataegus persimilis,,59153662,9330202.02,New Westminster
Metasequoia glyptostroboides,,59154066,9330200.01,New Westminster
Acer platanoides,,59152929,9330203.00,New Westminster
Zelkova serrata 'Green Vase',,59152820,9330200.02,New Westminster
paulownia tomentosa,,59152958,9330208.00,New Westminster
Acer rubrum,,59152842,9330205.01,New Westminster
Acer palmatum,,59152925,9330203.00,New Westminster
Fagus sylvatica,,59152840,9330208.00,New Westminster
Populus tremula,,59153524,9330200.02,New Westminster
Prunus cerasifera,,59152932,9330203.00,New Westminster
Pseudotsuga menziesii,,59152879,9330210.00,New Westminster
Acer griseum,,59152957,9330208.00,New Westminster
Prunus serrulata,,59152957,9330208.00,New Westminster
Lagerstroemia indica 'Muskogee',,59152849,9330204.01,New Westminster
 ,,59152870,9330209.02,New Westminster
 ,,59153662,9330202.02,New Westminster
Thuja plicata,,59152954,9330205.02,New Westminster
Magnolia kobus,,59152948,9330204.02,New Westminster
Hibiscus syriacus,,59152931,9330203.00,New Westminster
tilia tomentosa,,59154069,9330209.01,New Westminster
Quercus ellipsoidalis,,59152852,9330204.02,New Westminster
syringa reticulata 'Ivory Silk',,59152857,9330205.01,New Westminster
Acer palmatum,,59152932,9330203.00,New Westminster
Acer cappadocicum,,59154066,9330200.01,New Westminster
Acer cappadocicum,,59154066,9330200.01,New Westminster
Prunus serrulata 'Kwanzan',,59152863,9330208.00,New Westminster
Prunus serrulata 'Kwanzan',,59152840,9330208.00,New Westminster
Callitropsis nootkatensis 'Lutea',,59152861,9330208.00,New Westminster
magnolia macrophylla liliiflora 'nigra' x m. sprengeri var. diva,,59152862,9330208.00,New Westminster
Magnolia x kewensis (m. kobus x m. salicifolia),,59152840,9330208.00,New Westminster
malus spp.,,59152934,9330201.00,New Westminster
Ginkgo biloba,,59152889,9330208.00,New Westminster
Thuja plicata,,59152819,9330200.02,New Westminster
Acer x freemanii,,59152860,9330205.02,New Westminster
 ,,59152863,9330208.00,New Westminster
 ,,59152875,9330210.00,New Westminster
 ,,59152867,9330209.02,New Westminster
 ,,59152929,9330203.00,New Westminster
Parrotia persica,,59152958,9330208.00,New Westminster
Quercus palustris 'Fastigiata',,59154066,9330200.01,New Westminster
Prunus serrulata,,59153659,9330202.02,New Westminster
Cercidiphyllum japonicum 'Red Fox',,59152932,9330203.00,New Westminster
 ,,59152932,9330203.00,New Westminster
 ,,59154075,9330202.01,New Westminster
 ,,59152832,9330206.00,New Westminster
tilia tomentosa,,59152841,9330205.01,New Westminster
Cornus kousa,,59152841,9330205.01,New Westminster
Ginkgo biloba,,59152869,9330209.02,New Westminster
Thuja plicata,,59152948,9330204.02,New Westminster
Cercis canadensis var. alba,,59152922,9330204.02,New Westminster
 ,,59152872,9330210.00,New Westminster
Ilex aquifolium,,59152860,9330205.02,New Westminster
Magnolia,,59152842,9330205.01,New Westminster
 ,,59152889,9330208.00,New Westminster
Parrotia persica,,59152819,9330200.02,New Westminster
Acer tataricum ssp. ginnala,,59154070,9330209.02,New Westminster
Quercus coccinea,,59152849,9330204.01,New Westminster
 ,,59154069,9330209.01,New Westminster
Calocedrus decurrens,,59152953,9330205.02,New Westminster
Acer pseudoplatanus,,59152863,9330208.00,New Westminster
Fraxinus americana,,59153657,9330202.01,New Westminster
Styrax obassia,,59152820,9330200.02,New Westminster
Catalpa x erubescens,,59152932,9330203.00,New Westminster
Crataegus crus-galli 'Inermis',,59152929,9330203.00,New Westminster
Cornus kousa var. chinensis,,59152935,9330201.00,New Westminster
Acer rubrum,,59152819,9330200.02,New Westminster
Quercus rubra,,59154075,9330202.01,New Westminster
Prunus serrulata 'Kwanzan',,59152863,9330208.00,New Westminster
Cornus kousa,,59152859,9330205.01,New Westminster
oxydendrum arboreum,,59152933,9330203.00,New Westminster
Stewartia pseudocamellia,,59152853,9330204.02,New Westminster
 ,,59152957,9330208.00,New Westminster
Cornus mas,,59152957,9330208.00,New Westminster
 ,,59152888,9330208.00,New Westminster
Eucommia ulmoides,,59152846,9330204.01,New Westminster
Acer palmatum,,59152860,9330205.02,New Westminster
Acer x freemanii 'Armstrong',,59152887,9330208.00,New Westminster
Koelreuteria paniculata 'Fastigiata',,59152874,9330210.00,New Westminster
Parrotia persica,,59152861,9330208.00,New Westminster
Styrax japonicus,,59152846,9330204.01,New Westminster
Magnolia kobus,,59152929,9330203.00,New Westminster
Cercis canadensis,,59152929,9330203.00,New Westminster
Carpinus japonica,,59152929,9330203.00,New Westminster
Cornus kousa,,59152958,9330208.00,New Westminster
Cercis canadensis,,59152930,9330203.00,New Westminster
Acer platanoides,,59152922,9330204.02,New Westminster
 ,,59152840,9330208.00,New Westminster
 ,,59152932,9330203.00,New Westminster
Acer rubrum,,59153662,9330202.02,New Westminster
Pseudotsuga menziesii,,59152879,9330210.00,New Westminster
Cornus kousa,,59152921,9330204.02,New Westminster
Acer palmatum,,59152921,9330204.02,New Westminster
Acer palmatum,,59152872,9330210.00,New Westminster
Ilex aquifolium,,59152860,9330205.02,New Westminster
Acer macrophyllum,,59152867,9330209.02,New Westminster
Picea omorika,,59152842,9330205.01,New Westminster
Populus balsamifera var. trichocarpa,,59152820,9330200.02,New Westminster
Acer x freemanii,,59154069,9330209.01,New Westminster
Cornus florida x kousa 'Stellar Pink (Rutgan)',,59154070,9330209.02,New Westminster
Gleditsia triacanthos,,59152951,9330204.02,New Westminster
 ,,59154069,9330209.01,New Westminster
Cercis canadensis,,59152957,9330208.00,New Westminster
Tsuga heterophylla,,59152931,9330203.00,New Westminster
Acer,,59152931,9330203.00,New Westminster
Magnolia,,59152876,9330210.00,New Westminster
Cornus kousa var. chinensis,,59152935,9330201.00,New Westminster
Acer cappadocicum,,59154066,9330200.01,New Westminster
