Botanical Name,DBH,DAUID,CTUID,City
Acer platanoides,12,35260131,5390201.00,Niagara Falls
Acer platanoides,24,35260131,5390201.00,Niagara Falls
Acer platanoides,18,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
Acer platanoides,23,35260131,5390201.00,Niagara Falls
Acer platanoides,18,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
Acer platanoides,25,35260131,5390201.00,Niagara Falls
Acer platanoides,25,35260131,5390201.00,Niagara Falls
Acer platanoides,19,35260131,5390201.00,Niagara Falls
Acer platanoides,19,35260131,5390201.00,Niagara Falls
Acer platanoides,28,35260131,5390201.00,Niagara Falls
Acer platanoides,21,35260131,5390201.00,Niagara Falls
Acer platanoides,16,35260131,5390201.00,Niagara Falls
Acer platanoides,26,35260131,5390201.00,Niagara Falls
Acer platanoides,28,35260131,5390201.00,Niagara Falls
Acer platanoides,25,35260131,5390201.00,Niagara Falls
Acer platanoides,19,35260131,5390201.00,Niagara Falls
Acer platanoides,27,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
Acer platanoides,10,35260131,5390201.00,Niagara Falls
Acer platanoides,21,35260131,5390201.00,Niagara Falls
Acer platanoides,24,35260131,5390201.00,Niagara Falls
Acer platanoides,16,35260131,5390201.00,Niagara Falls
Acer platanoides,19,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
Acer platanoides,15,35260131,5390201.00,Niagara Falls
Acer platanoides,21,35260131,5390201.00,Niagara Falls
Acer platanoides,22,35260131,5390201.00,Niagara Falls
Acer platanoides,10,35260131,5390201.00,Niagara Falls
Acer platanoides,27,35260131,5390201.00,Niagara Falls
Acer palmatum,3,35260131,5390201.00,Niagara Falls
Acer platanoides,18,35260131,5390201.00,Niagara Falls
Acer platanoides,27,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
Acer platanoides,20,35260131,5390201.00,Niagara Falls
