Botanical Name,DBH,DAUID,CTUID,City
Tilia cordata,45,35061796,5050053.00,Ottawa
Acer negundo,66,35061796,5050053.00,Ottawa
Acer negundo,62,35061795,5050053.00,Ottawa
Tilia cordata,26,35061796,5050053.00,Ottawa
Tilia cordata,31,35061796,5050053.00,Ottawa
Tilia cordata,28,35061796,5050053.00,Ottawa
Ulmus pumila,2,35061796,5050053.00,Ottawa
Ulmus pumila,2,35061796,5050053.00,Ottawa
Tilia cordata,52,35061795,5050053.00,Ottawa
Ulmus davidiana var. japonica 'Prospector',5,35061800,5050056.00,Ottawa
Ulmus davidiana var. japonica 'Prospector',5,35061800,5050056.00,Ottawa
Syringa reticulata,24,35060249,5050056.00,Ottawa
Syringa reticulata,19,35060249,5050056.00,Ottawa
Syringa reticulata,18,35060249,5050056.00,Ottawa
Acer platanoides,27,35060249,5050056.00,Ottawa
Malus,7,35060249,5050056.00,Ottawa
Malus,7,35061800,5050056.00,Ottawa
Malus,7,35061800,5050056.00,Ottawa
Prunus virginiana 'Schubert',17,35061800,5050056.00,Ottawa
Picea pungens,8,35060255,5050055.00,Ottawa
Fraxinus excelsior,8,35060255,5050055.00,Ottawa
Acer platanoides,21,35060255,5050055.00,Ottawa
Acer saccharum,63,35060255,5050055.00,Ottawa
Acer platanoides,26,35060255,5050055.00,Ottawa
Acer platanoides,27,35060255,5050055.00,Ottawa
Picea pungens,31,35060255,5050055.00,Ottawa
Syringa reticulata,13,35060255,5050055.00,Ottawa
Acer platanoides,28,35060255,5050055.00,Ottawa
Sorbus x thuringiaca 'Fastigiata',8,35060255,5050055.00,Ottawa
Malus,49,35060255,5050055.00,Ottawa
Gleditsia triacanthos,28,35060253,5050055.00,Ottawa
Acer rubrum 'Katie Cole',45,35060254,5050055.00,Ottawa
Acer rubrum 'Katie Cole',43,35060254,5050055.00,Ottawa
Acer rubrum 'Katie Cole',38,35060254,5050055.00,Ottawa
Acer rubrum 'Katie Cole',41,35060254,5050055.00,Ottawa
Acer negundo,142,35060254,5050055.00,Ottawa
Syringa reticulata,25,35060252,5050055.00,Ottawa
Syringa reticulata,20,35060252,5050055.00,Ottawa
Malus,40,35060252,5050055.00,Ottawa
Acer saccharum,18,35061335,5050121.02,Ottawa
Acer saccharum,15,35061335,5050121.02,Ottawa
Acer rubrum 'Katie Cole',12,35061335,5050121.02,Ottawa
Acer saccharum,55,35060153,5050120.03,Ottawa
Ginkgo biloba,22,35060144,5050120.03,Ottawa
Quercus alba,75,35060144,5050120.03,Ottawa
Picea pungens,26,35060144,5050120.03,Ottawa
Acer rubrum 'Katie Cole',68,35060144,5050120.03,Ottawa
Acer rubrum 'Katie Cole',89,35060144,5050120.03,Ottawa
Acer rubrum 'Katie Cole',120,35060144,5050120.03,Ottawa
Abies balsamea,29,35060144,5050120.03,Ottawa
Pinus,33,35060144,5050120.03,Ottawa
Pinus,39,35060144,5050120.03,Ottawa
Ulmus americana,56,35060144,5050120.03,Ottawa
Acer rubrum 'Katie Cole',30,35060144,5050120.03,Ottawa
Malus,8,35060144,5050120.03,Ottawa
Pinus strobus,28,35060144,5050120.03,Ottawa
Acer ginnala,10,35060146,5050120.01,Ottawa
Acer rubrum 'Katie Cole',63,35060252,5050055.00,Ottawa
Syringa reticulata,9,35060252,5050055.00,Ottawa
Syringa reticulata,18,35060252,5050055.00,Ottawa
Prunus virginiana 'Schubert',25,35060252,5050055.00,Ottawa
Syringa reticulata,21,35060252,5050055.00,Ottawa
Syringa reticulata,22,35060252,5050055.00,Ottawa
Acer rubrum 'Katie Cole',79,35060252,5050055.00,Ottawa
Syringa reticulata,18,35060252,5050055.00,Ottawa
Gleditsia triacanthos,25,35060252,5050055.00,Ottawa
Tilia cordata,41,35060252,5050055.00,Ottawa
Acer ginnala,12,35060252,5050055.00,Ottawa
Acer rubrum 'Katie Cole',47,35060252,5050055.00,Ottawa
Acer rubrum 'Katie Cole',38,35060252,5050055.00,Ottawa
Acer platanoides,27,35060254,5050055.00,Ottawa
Acer platanoides,35,35060254,5050055.00,Ottawa
Acer rubrum 'Katie Cole',9,35060254,5050055.00,Ottawa
Picea glauca,29,35060254,5050055.00,Ottawa
Quercus rubra,13,35060254,5050055.00,Ottawa
Acer saccharum,27,35060254,5050055.00,Ottawa
Syringa reticulata,5,35060254,5050055.00,Ottawa
Quercus palustris 'Pringreen',11,35060254,5050055.00,Ottawa
Quercus palustris 'Pringreen',10,35060254,5050055.00,Ottawa
Quercus palustris 'Pringreen',13,35060254,5050055.00,Ottawa
Fraxinus americana,35,35061803,5050056.00,Ottawa
Pinus nigra,27,35061803,5050056.00,Ottawa
Pinus resinosa,18,35061803,5050056.00,Ottawa
Pinus nigra,31,35061803,5050056.00,Ottawa
Acer saccharum,53,35060254,5050055.00,Ottawa
Acer saccharum,23,35060254,5050055.00,Ottawa
Acer platanoides,8,35060254,5050055.00,Ottawa
