Botanical Name,DBH,DAUID,CTUID,City
Pyrus calleryana 'Chanticleer',,35150096,5290002.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150078,5290004.00,Peterborough
Amelanchier laevis 'Spring Flurry',,35150076,5290004.00,Peterborough
Acer saccharum 'Green Mountain',,35150075,5290009.01,Peterborough
Ostrya virginiana,,35150133,5290001.02,Peterborough
Carpinus caroliniana,,35150326,5290001.02,Peterborough
Pyrus calleryana 'Chanticleer',,35150096,5290002.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150078,5290004.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150076,5290004.00,Peterborough
Ginkgo biloba,,35150163,5290009.01,Peterborough
Quercus rubra,,35150133,5290001.02,Peterborough
Pyrus calleryana 'Chanticleer',,35150096,5290002.00,Peterborough
Carpinus caroliniana,,35150168,5290004.00,Peterborough
Gleditsia triacanthos 'Draves',,35150078,5290004.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150078,5290004.00,Peterborough
Acer saccharum 'Green Mountain',,35150342,5290001.02,Peterborough
Crataegus spp,,35150100,5290001.02,Peterborough
Ulmus  spp,,35150213,5290007.00,Peterborough
Tilia cordata 'Greenspire',,35150070,5290007.00,Peterborough
Amelanchier laevis 'Spring Flurry',,35150076,5290004.00,Peterborough
Acer saccharum 'Green Mountain',,35150133,5290001.02,Peterborough
Acer saccharum 'Green Mountain',,35150100,5290001.02,Peterborough
Acer x freemanii 'Autumn Blaze',,35150099,5290001.02,Peterborough
Betula  spp.,,35150227,5290012.00,Peterborough
Tilia cordata 'Greenspire',,35150070,5290007.00,Peterborough
Tilia cordata,,35150214,5290005.00,Peterborough
Quercus rubra,,35150083,5290005.00,Peterborough
Liriodendron tulipifera,,35150083,5290005.00,Peterborough
Acer saccharum 'Green Mountain',,35150225,5290006.00,Peterborough
Amelanchier  species,,35150108,5290006.00,Peterborough
Gleditsia triacanthos,,35150122,5290006.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150121,5290006.00,Peterborough
Acer saccharum 'Green Mountain',,35150121,5290006.00,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Acer saccharum 'Green Mountain',,35150098,5290001.02,Peterborough
Ostrya virginiana,,35150134,5290001.02,Peterborough
Tilia cordata 'Greenspire',,35150070,5290007.00,Peterborough
Acer rubrum 'Frank Jr',,35150214,5290005.00,Peterborough
Acer platanoides 'Columnare',,35150082,5290005.00,Peterborough
Quercus rubra,,35150108,5290006.00,Peterborough
Acer saccharum 'Green Mountain',,35150107,5290006.00,Peterborough
Acer saccharum 'Green Mountain',,35150214,5290005.00,Peterborough
Ulmus  spp,,35150225,5290006.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150121,5290006.00,Peterborough
Carpinus caroliniana,,35150121,5290006.00,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Carpinus betulus 'Fastigiata',,35150324,5290001.01,Peterborough
Cornus alternifolia,,35150105,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Pyrus calleryana 'Chanticleer',,35150324,5290001.01,Peterborough
Acer campestre,,35150324,5290001.01,Peterborough
Pyrus calleryana 'Chanticleer',,35150324,5290001.01,Peterborough
Ostrya virginiana,,35150324,5290001.01,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Crataegus spp,,35150324,5290001.01,Peterborough
Quercus macrocarpa,,35150324,5290001.01,Peterborough
Quercus macrocarpa,,35150324,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Pinus resinosa,,35150324,5290001.01,Peterborough
Carya cordiformis,,35150082,5290005.00,Peterborough
Ostrya virginiana,,35150108,5290006.00,Peterborough
Acer rubrum 'Frank Jr',,35150122,5290006.00,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Pyrus calleryana 'Chanticleer',,35150324,5290001.01,Peterborough
Pinus strobus,,35150324,5290001.01,Peterborough
Carpinus caroliniana,,35150324,5290001.01,Peterborough
Pyrus calleryana 'Chanticleer',,35150324,5290001.01,Peterborough
Acer rubrum 'Frank Jr',,35150324,5290001.01,Peterborough
Corylus colurna,,35150324,5290001.01,Peterborough
Tilia cordata,,35150225,5290006.00,Peterborough
Amelanchier  species,,35150109,5290006.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150121,5290006.00,Peterborough
Betula  spp.,,35150120,5290006.00,Peterborough
Malus  spp,,35150324,5290001.01,Peterborough
Acer ginnala,,35150324,5290001.01,Peterborough
Gymnocladus dioicus,,35150324,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Quercus macrocarpa,,35150105,5290001.01,Peterborough
Quercus macrocarpa,,35150324,5290001.01,Peterborough
Gleditsia triacanthos 'Draves',,35150324,5290001.01,Peterborough
Acer platanoides,,35150324,5290001.01,Peterborough
Acer saccharum 'Green Mountain',,35150117,5290006.00,Peterborough
Pyrus  species,,35150129,5290014.00,Peterborough
Ostrya virginiana,,35150129,5290014.00,Peterborough
Acer saccharum,,35150129,5290014.00,Peterborough
Corylus colurna,,35150324,5290001.01,Peterborough
Acer saccharum 'Green Mountain',,35150074,5290004.00,Peterborough
Nyssa sylvatica,,35150074,5290004.00,Peterborough
Ostrya virginiana,,35150080,5290004.00,Peterborough
Gleditsia triacanthos,,35150111,5290007.00,Peterborough
Ostrya virginiana,,35150055,5290010.00,Peterborough
Crataegus spp,,35150129,5290014.00,Peterborough
Ulmus  spp,,35150129,5290014.00,Peterborough
Acer saccharum,,35150129,5290014.00,Peterborough
Malus  spp,,35150129,5290014.00,Peterborough
Acer ginnala,,35150129,5290014.00,Peterborough
Ginkgo biloba,,35150215,5290011.00,Peterborough
Ginkgo biloba,,35150072,5290008.00,Peterborough
Ginkgo biloba,,35150227,5290012.00,Peterborough
Acer saccharum 'Green Mountain',,35150045,5290012.00,Peterborough
Acer saccharum 'Green Mountain',,35150048,5290011.00,Peterborough
Gymnocladus dioicus,,35150048,5290011.00,Peterborough
Acer ginnala,,35150047,5290011.00,Peterborough
Acer saccharum 'Green Mountain',,35150048,5290011.00,Peterborough
Quercus rubra,,35150047,5290011.00,Peterborough
Quercus rubra,,35150049,5290011.00,Peterborough
Acer x freemanii 'Autumn Blaze',,35150216,5290012.00,Peterborough
Amelanchier laevis 'Spring Flurry',,35150162,5290009.02,Peterborough
Gleditsia triacanthos 'Draves',,35150056,5290012.00,Peterborough
Quercus rubra,,35150058,5290012.00,Peterborough
Liriodendron tulipifera,,35150058,5290012.00,Peterborough
Pyrus calleryana 'Chanticleer',,35150057,5290012.00,Peterborough
Acer tataricum,,35150129,5290014.00,Peterborough
Acer campestre,,35150129,5290014.00,Peterborough
Cornus alternifolia,,35150129,5290014.00,Peterborough
Malus baccata,,35150129,5290014.00,Peterborough
