Botanical Name,DBH,DAUID,CTUID,City
Fraxinus pennsylvanica,56,24230746,4210240.04,Quebec City
Quercus robur,65,24230721,4210240.03,Quebec City
Fraxinus pennsylvanica,47,24230746,4210240.04,Quebec City
Fraxinus pennsylvanica,41,24230746,4210240.04,Quebec City
Fraxinus pennsylvanica,41,24230746,4210240.04,Quebec City
Fraxinus pennsylvanica,51,24230746,4210240.04,Quebec City
Fraxinus pennsylvanica,43,24230746,4210240.04,Quebec City
Fraxinus pennsylvanica,36,24230746,4210240.04,Quebec City
Acer platanoides,37,24231031,4210032.00,Quebec City
Picea pungens,30,24231031,4210032.00,Quebec City
Picea pungens,37,24231031,4210032.00,Quebec City
Tilia cordata,51,24230844,4210007.00,Quebec City
Ulmus americana,33,24230155,4210022.00,Quebec City
Acer platanoides,49,24230874,4210024.00,Quebec City
Ulmus pumila,42,24231031,4210032.00,Quebec City
Acer platanoides,38,24230874,4210024.00,Quebec City
Tilia cordata,65,24230844,4210007.00,Quebec City
Ulmus americana,39,24230155,4210022.00,Quebec City
Fraxinus pennsylvanica,41,24230876,4210025.00,Quebec City
Fraxinus pennsylvanica,31,24230876,4210025.00,Quebec City
Acer platanoides,58,24231037,4210004.00,Quebec City
Gleditsia,33,24231037,4210004.00,Quebec City
Gleditsia triacanthos inermis,39,24231037,4210004.00,Quebec City
Gleditsia triacanthos inermis,34,24231037,4210004.00,Quebec City
Gleditsia,32,24231037,4210004.00,Quebec City
Acer platanoides,52,24230844,4210007.00,Quebec City
Gleditsia,28,24231037,4210004.00,Quebec City
Acer platanoides,58,24230844,4210007.00,Quebec City
Acer platanoides,41,24230844,4210007.00,Quebec City
Acer platanoides,29,24230844,4210007.00,Quebec City
Gleditsia triacanthos inermis 'Shademaster',36,24231037,4210004.00,Quebec City
Gleditsia,25,24231037,4210004.00,Quebec City
Gleditsia,32,24231037,4210004.00,Quebec City
Acer platanoides,41,24230844,4210007.00,Quebec City
Acer platanoides,54,24231037,4210004.00,Quebec City
Acer saccharinum,63,24230800,4210040.01,Quebec City
Acer platanoides,25,24230176,4210019.00,Quebec City
Acer saccharinum,62,24230649,4210039.01,Quebec City
Acer saccharinum,65,24230649,4210039.01,Quebec City
Acer saccharinum,47,24230649,4210039.01,Quebec City
Acer platanoides,44,24231031,4210032.00,Quebec City
Acer saccharinum,61,24230649,4210039.01,Quebec City
Acer saccharinum,91,24230649,4210039.01,Quebec City
Acer saccharinum,63,24230649,4210039.01,Quebec City
Acer saccharinum,71,24230800,4210040.01,Quebec City
Acer saccharinum,64,24230649,4210039.01,Quebec City
Acer saccharinum,52,24230800,4210040.01,Quebec City
Acer platanoides,36,24231031,4210032.00,Quebec City
Acer saccharinum,75,24230649,4210039.01,Quebec City
Acer platanoides,35,24231031,4210032.00,Quebec City
Acer saccharinum,55,24230649,4210039.01,Quebec City
Acer saccharinum,92,24230649,4210039.01,Quebec City
Acer saccharinum,71,24230649,4210039.01,Quebec City
Acer saccharinum,72,24230649,4210039.01,Quebec City
Acer saccharinum,39,24230800,4210040.01,Quebec City
Acer saccharinum,75,24230649,4210039.01,Quebec City
Acer saccharinum,66,24230649,4210039.01,Quebec City
