Botanical Name,DBH,DAUID,CTUID,City
Tilia americana,14,35260416,5390018.03,St. Catharines
Tilia americana,7,35260416,5390018.03,St. Catharines
Fraxinus pennsylvanica,10,35260416,5390018.03,St. Catharines
Acer saccharinum,130,35260416,5390018.03,St. Catharines
Acer saccharinum,78,35260416,5390018.03,St. Catharines
Unknown,3,35260468,5390007.01,St. Catharines
Picea glauca,3,35260468,5390007.01,St. Catharines
Syringa reticulata,3,35260468,5390007.01,St. Catharines
Picea glauca,3,35260468,5390007.01,St. Catharines
Syringa reticulata,4,35260468,5390007.01,St. Catharines
Syringa reticulata,3,35260468,5390007.01,St. Catharines
Syringa reticulata,3,35260468,5390007.01,St. Catharines
Syringa reticulata,2,35260468,5390007.01,St. Catharines
Tilia cordata,20,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,5,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,3,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,4,35260599,5390002.00,St. Catharines
Thuja occidentalis,3,35260599,5390002.00,St. Catharines
Prunus x cistena,5,35260599,5390002.00,St. Catharines
Acer platanoides,5,35260599,5390002.00,St. Catharines
Carya cordiformis,4,35260599,5390002.00,St. Catharines
Platanus occidentalis,58,35260599,5390002.00,St. Catharines
Acer platanoides,40,35260599,5390002.00,St. Catharines
Platanus occidentalis,39,35260599,5390002.00,St. Catharines
liriodendron tulipifera,5,35260599,5390002.00,St. Catharines
Tilia cordata,4,35260599,5390002.00,St. Catharines
Acer platanoides,35,35260599,5390002.00,St. Catharines
Acer platanoides,23,35260599,5390002.00,St. Catharines
Platanus occidentalis,38,35260599,5390002.00,St. Catharines
Platanus occidentalis,36,35260599,5390002.00,St. Catharines
Platanus occidentalis,58,35260599,5390002.00,St. Catharines
Picea pungens,30,35260599,5390002.00,St. Catharines
Acer platanoides,48,35260599,5390002.00,St. Catharines
Acer platanoides,34,35260599,5390002.00,St. Catharines
Tilia cordata,40,35260573,5390016.02,St. Catharines
Tilia cordata,76,35260573,5390016.02,St. Catharines
Tilia cordata,34,35260573,5390016.02,St. Catharines
Tilia cordata,71,35260573,5390016.02,St. Catharines
Betula papyrifera,50,35260573,5390016.02,St. Catharines
Sorbus aucuparia,20,35260573,5390016.02,St. Catharines
Tilia cordata,43,35260573,5390016.02,St. Catharines
Acer platanoides,42,35260573,5390016.02,St. Catharines
Tilia cordata,44,35260573,5390016.02,St. Catharines
Gleditsia triacanthos,54,35260573,5390016.02,St. Catharines
Gleditsia triacanthos,54,35260573,5390016.02,St. Catharines
Gleditsia triacanthos,58,35260573,5390016.02,St. Catharines
Tilia cordata,69,35260744,5390016.02,St. Catharines
Tilia cordata,63,35260573,5390016.02,St. Catharines
Tilia cordata,53,35260573,5390016.02,St. Catharines
Tilia cordata,38,35260744,5390016.02,St. Catharines
Tilia cordata,63,35260573,5390016.02,St. Catharines
Tilia cordata,38,35260744,5390016.02,St. Catharines
Tilia cordata,47,35260573,5390016.02,St. Catharines
Tilia cordata,4,35260744,5390016.02,St. Catharines
Platanus x acerifolia,74,35260573,5390016.02,St. Catharines
Tilia cordata,50,35260744,5390016.02,St. Catharines
Acer platanoides,41,35260573,5390016.02,St. Catharines
Picea glauca,18,35260744,5390016.02,St. Catharines
Tilia cordata,44,35260744,5390016.02,St. Catharines
Tilia cordata,70,35260744,5390016.02,St. Catharines
Tilia cordata,47,35260573,5390016.02,St. Catharines
Tilia cordata,42,35260744,5390016.02,St. Catharines
Tilia cordata,66,35260573,5390016.02,St. Catharines
Tilia cordata,34,35260744,5390016.02,St. Catharines
Tilia cordata,56,35260573,5390016.02,St. Catharines
Tilia cordata,54,35260573,5390016.02,St. Catharines
Acer x freemanii,5,35260573,5390016.02,St. Catharines
Tilia cordata,65,35260573,5390016.02,St. Catharines
Tilia cordata,85,35260573,5390016.02,St. Catharines
Gleditsia triacanthos,20,35260451,5390005.00,St. Catharines
Gleditsia triacanthos,23,35260451,5390005.00,St. Catharines
Acer platanoides,32,35260384,5390005.00,St. Catharines
Acer platanoides,26,35260384,5390005.00,St. Catharines
Gleditsia triacanthos,6,35260451,5390005.00,St. Catharines
Gleditsia triacanthos,30,35260451,5390005.00,St. Catharines
Gleditsia triacanthos,12,35260451,5390005.00,St. Catharines
Gleditsia triacanthos,18,35260451,5390005.00,St. Catharines
Acer platanoides,9,35260384,5390005.00,St. Catharines
Syringa reticulata,6,35260384,5390005.00,St. Catharines
Amelanchier spp.,5,35260384,5390005.00,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Acer platanoides,24,35260470,5390007.01,St. Catharines
Pyrus calleryana,10,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Acer platanoides,32,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Gleditsia triacanthos,16,35260470,5390007.01,St. Catharines
Acer platanoides,34,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer griseum,5,35260470,5390007.01,St. Catharines
Acer platanoides,12,35260470,5390007.01,St. Catharines
Acer platanoides,10,35260470,5390007.01,St. Catharines
Acer platanoides,10,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,12,35260470,5390007.01,St. Catharines
Acer platanoides,22,35260470,5390007.01,St. Catharines
Gleditsia triacanthos,34,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Pyrus calleryana,14,35260470,5390007.01,St. Catharines
Acer platanoides,26,35260470,5390007.01,St. Catharines
Betula papyrifera,30,35260470,5390007.01,St. Catharines
Tilia cordata,30,35260470,5390007.01,St. Catharines
Gleditsia triacanthos,22,35260470,5390007.01,St. Catharines
Acer platanoides,36,35260470,5390007.01,St. Catharines
Acer platanoides,26,35260470,5390007.01,St. Catharines
Tilia cordata,30,35260470,5390007.01,St. Catharines
Acer platanoides,24,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,16,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,26,35260470,5390007.01,St. Catharines
Acer saccharinum,16,35260470,5390007.01,St. Catharines
Acer platanoides,38,35260470,5390007.01,St. Catharines
Acer platanoides,38,35260470,5390007.01,St. Catharines
Acer platanoides,10,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Acer platanoides,28,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Gleditsia triacanthos,40,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer saccharinum,14,35260470,5390007.01,St. Catharines
Acer saccharum,10,35260470,5390007.01,St. Catharines
Gleditsia triacanthos,26,35260470,5390007.01,St. Catharines
Acer platanoides,22,35260470,5390007.01,St. Catharines
Acer platanoides,42,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,26,35260470,5390007.01,St. Catharines
Acer platanoides,20,35260470,5390007.01,St. Catharines
Acer platanoides,40,35260470,5390007.01,St. Catharines
Acer platanoides,24,35260470,5390007.01,St. Catharines
Acer platanoides,24,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,36,35260470,5390007.01,St. Catharines
Acer platanoides,34,35260470,5390007.01,St. Catharines
Acer platanoides,26,35260470,5390007.01,St. Catharines
Acer platanoides,40,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,30,35260470,5390007.01,St. Catharines
Acer platanoides,40,35260470,5390007.01,St. Catharines
Chamaecyparis nootkatensis,10,35260827,5390003.04,St. Catharines
Celtis occidentalis,10,35260827,5390003.04,St. Catharines
Acer platanoides,14,35260827,5390003.04,St. Catharines
Catalpa speciosa,10,35260827,5390003.04,St. Catharines
Gleditsia triacanthos,14,35260827,5390003.04,St. Catharines
Acer platanoides,8,35260827,5390003.04,St. Catharines
Malus crabapple spp.,5,35260827,5390003.04,St. Catharines
Acer rubrum,9,35260827,5390003.04,St. Catharines
Tilia cordata,8,35260827,5390003.04,St. Catharines
Unknown,5,35260827,5390003.04,St. Catharines
Juglans nigra,41,35260827,5390003.04,St. Catharines
Prunus spp.,13,35260827,5390003.04,St. Catharines
Prunus spp.,10,35260827,5390003.04,St. Catharines
Acer rubrum,8,35260827,5390003.04,St. Catharines
Quercus robur,10,35260827,5390003.04,St. Catharines
Quercus robur,10,35260827,5390003.04,St. Catharines
Acer platanoides,9,35260827,5390003.04,St. Catharines
Acer x freemanii,9,35260827,5390003.04,St. Catharines
Acer x freemanii,7,35260827,5390003.04,St. Catharines
Tilia cordata,10,35260827,5390003.04,St. Catharines
Acer rubrum,6,35260827,5390003.04,St. Catharines
Acer x freemanii,10,35260827,5390003.04,St. Catharines
Acer x freemanii,9,35260827,5390003.04,St. Catharines
Tilia cordata,6,35260827,5390003.04,St. Catharines
Catalpa speciosa,18,35260827,5390003.04,St. Catharines
