Botanical Name,DBH,DAUID,CTUID,City
Ulmus americana,73,48111636,8350103.00,Strathcona County
Ulmus americana,71,48111636,8350103.00,Strathcona County
Ulmus americana,56,48111636,8350103.00,Strathcona County
Ulmus americana,69,48111636,8350103.00,Strathcona County
Ulmus americana,56,48112341,8350103.00,Strathcona County
Ulmus americana,66,48112341,8350103.00,Strathcona County
Ulmus americana,94,48111626,8350103.00,Strathcona County
Ulmus americana,85,48111626,8350103.00,Strathcona County
Ulmus pumila,65,48111626,8350103.00,Strathcona County
Ulmus americana,74,48111626,8350103.00,Strathcona County
Ulmus americana,60,48111626,8350103.00,Strathcona County
Ulmus americana,77,48111626,8350103.00,Strathcona County
Ulmus americana,65,48112341,8350103.00,Strathcona County
Ulmus pumila,46,48111637,8350103.00,Strathcona County
Ulmus pumila,66,48111637,8350103.00,Strathcona County
Ulmus pumila,34,48111637,8350103.00,Strathcona County
Ulmus americana,72,48111626,8350103.00,Strathcona County
Ulmus pumila,36,48111626,8350103.00,Strathcona County
Ulmus americana,55,48111626,8350103.00,Strathcona County
Ulmus americana,67,48111626,8350103.00,Strathcona County
Ulmus americana,57,48111626,8350103.00,Strathcona County
Ulmus americana,81,48111626,8350103.00,Strathcona County
Ulmus americana,67,48111626,8350103.00,Strathcona County
Ulmus americana,51,48111625,8350103.00,Strathcona County
Ulmus americana,75,48111637,8350103.00,Strathcona County
Ulmus americana,55,48111637,8350103.00,Strathcona County
Ulmus americana,79,48111637,8350103.00,Strathcona County
Ulmus americana,46,48111624,8350103.00,Strathcona County
Ulmus americana,51,48111624,8350103.00,Strathcona County
Ulmus americana,91,48111624,8350103.00,Strathcona County
Ulmus americana,45,48111624,8350103.00,Strathcona County
Ulmus americana,60,48111624,8350103.00,Strathcona County
Ulmus americana,77,48111624,8350103.00,Strathcona County
Ulmus americana,52,48111624,8350103.00,Strathcona County
Ulmus pumila,67,48111636,8350103.00,Strathcona County
Ulmus americana,54,48111636,8350103.00,Strathcona County
Ulmus americana,59,48111636,8350103.00,Strathcona County
Ulmus americana,51,48111636,8350103.00,Strathcona County
Ulmus americana,69,48111636,8350103.00,Strathcona County
Ulmus americana,72,48111636,8350103.00,Strathcona County
Ulmus americana,61,48112339,8350103.00,Strathcona County
Ulmus pumila,63,48111625,8350103.00,Strathcona County
Ulmus americana,48,48111626,8350103.00,Strathcona County
Ulmus americana,35,48111626,8350103.00,Strathcona County
Ulmus americana,53,48111626,8350103.00,Strathcona County
Ulmus americana,63,48111626,8350103.00,Strathcona County
Ulmus americana,64,48111626,8350103.00,Strathcona County
Ulmus americana,90,48111626,8350103.00,Strathcona County
Ulmus americana,92,48111626,8350103.00,Strathcona County
Ulmus americana,57,48111626,8350103.00,Strathcona County
Ulmus americana,50,48111626,8350103.00,Strathcona County
Ulmus americana,75,48111626,8350103.00,Strathcona County
Ulmus americana,63,48111626,8350103.00,Strathcona County
Ulmus americana,53,48111626,8350103.00,Strathcona County
Ulmus americana,81,48111626,8350103.00,Strathcona County
Ulmus americana,88,48111626,8350103.00,Strathcona County
Quercus macrocarpa,23,48111608,8350102.00,Strathcona County
Acer,44,48111608,8350102.00,Strathcona County
Fraxinus pennsylvanica,28,48111608,8350102.00,Strathcona County
