Botanical Name,DBH,DAUID,CTUID,City
Carpinus betulus 'Fastigiata',43,59170144,9350010.02,Victoria
Carpinus betulus 'Fastigiata',44,59170144,9350010.02,Victoria
Carpinus betulus 'Fastigiata',43,59170144,9350010.02,Victoria
Carpinus betulus 'Fastigiata',51,59170144,9350010.02,Victoria
Carpinus betulus 'Fastigiata',55,59170144,9350010.02,Victoria
Sequoiadendron giganteum,156,59170144,9350010.02,Victoria
Carpinus betulus 'Fastigiata',40,59170144,9350010.02,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,2,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,5,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Ilex aquifolium,18,59170144,9350010.02,Victoria
Ilex aquifolium,41,59170144,9350010.02,Victoria
Betula papyrifera,29,59170612,9350007.00,Victoria
Aesculus hippocastanum,90,59170200,9350006.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Quercus garryana,3,59170295,9350002.00,Victoria
Acer rubrum 'Sun Valley',6,59170295,9350002.00,Victoria
Populus balsamifera ssp. trichocarpa,122,59170162,9350010.02,Victoria
Acer griseum,38,59170612,9350007.00,Victoria
Acer palmatum,35,59170612,9350007.00,Victoria
Cedrus atlantica,107,59170612,9350007.00,Victoria
