Botanical Name,DBH,DAUID,CTUID,City
Platanus occidentalis,0,35300873,5410108.02,Waterloo
Platanus occidentalis,0,35300971,5410109.02,Waterloo
Acer saccharum,0,35300927,5410108.04,Waterloo
Celtis occidentalis,0,35300927,5410108.04,Waterloo
Acer rubrum,0,35300944,5410109.09,Waterloo
Acer rubrum,0,35300944,5410109.09,Waterloo
Acer rubrum,0,35300580,5410108.02,Waterloo
Pyrus spp.,0,35300049,5410109.01,Waterloo
Acer saccharum,0,35301017,5410109.09,Waterloo
Acer platanoides,0,35300582,5410107.02,Waterloo
Fraxinus americana,0,35300590,5410107.02,Waterloo
Tilia cordata,0,35300085,5410104,Waterloo
Acer platanoides,0,35300095,5410108.02,Waterloo
quercus robur 'Fastigiata',0,35300972,5410109.02,Waterloo
Syringa reticulata,0,35300081,5410104,Waterloo
Pyrus spp.,0,35300082,5410104,Waterloo
Pyrus spp.,0,35300826,5410109.1,Waterloo
Amelanchier canadensis,0,35300275,5410109.02,Waterloo
Gleditsia triacanthos,0,35300032,5410109.05,Waterloo
Celtis occidentalis,0,35300066,5410106.01,Waterloo
Acer rubrum,0,35300298,5410106.01,Waterloo
Acer rubrum,0,35300298,5410106.01,Waterloo
Acer platanoides,0,35300062,5410106.02,Waterloo
Acer platanoides,0,35300116,5410103,Waterloo
Acer platanoides,0,35300116,5410103,Waterloo
Acer platanoides,0,35300116,5410103,Waterloo
Sorbus thuringiaca 'Fastigiata',0,35300117,5410103,Waterloo
Sorbus thuringiaca 'Fastigiata',0,35300944,5410109.09,Waterloo
Acer saccharum,0,35300121,5410102,Waterloo
Acer platanoides,0,35300112,5410103,Waterloo
Acer platanoides,0,35300112,5410103,Waterloo
Acer saccharum,0,35300050,5410109.01,Waterloo
Malus spp.,0,35300062,5410106.02,Waterloo
Tilia cordata,0,35300062,5410106.02,Waterloo
Acer platanoides,0,35300116,5410103,Waterloo
Tilia americana,0,35300118,5410103,Waterloo
Quercus rubra,0,35300062,5410106.02,Waterloo
Acer platanoides,0,35300062,5410106.02,Waterloo
quercus robur,0,35300051,5410109.01,Waterloo
Acer saccharum,0,35300285,5410100,Waterloo
Gleditsia triacanthos,0,35300822,5410109.07,Waterloo
Acer rubrum,0,35300875,5410108.02,Waterloo
Acer saccharum,0,35300078,5410104,Waterloo
Acer rubrum,0,35300944,5410109.09,Waterloo
Pyrus spp.,0,35300076,5410103,Waterloo
Sorbus thuringiaca 'Fastigiata',0,35300821,5410109.07,Waterloo
quercus robur,0,35300282,5410100,Waterloo
Syringa spp.,0,35300027,5410109.05,Waterloo
Acer platanoides,0,35300027,5410109.05,Waterloo
Quercus rubra,0,35300027,5410109.05,Waterloo
Gleditsia triacanthos,0,35300282,5410100,Waterloo
Pyrus spp.,0,35300127,5410100,Waterloo
Acer platanoides,0,35300075,5410104,Waterloo
Acer platanoides,0,35300732,5410100,Waterloo
Acer saccharum,0,35300976,5410109.02,Waterloo
Acer rubrum,0,35300080,5410104,Waterloo
Acer rubrum,0,35300972,5410109.02,Waterloo
Acer rubrum,0,35300080,5410104,Waterloo
Syringa reticulata,0,35300738,5410108.04,Waterloo
Fraxinus americana,0,35300053,5410109.01,Waterloo
Tilia americana,0,35300973,5410109.02,Waterloo
Acer platanoides,0,35300296,5410106.01,Waterloo
Sorbus thuringiaca 'Fastigiata',0,35300064,5410106.02,Waterloo
Acer rubrum,0,35300292,5410100,Waterloo
Gleditsia triacanthos,0,35300292,5410100,Waterloo
Amelanchier canadensis,0,35300127,5410100,Waterloo
Amelanchier canadensis,0,35300127,5410100,Waterloo
Acer saccharum,0,35300127,5410100,Waterloo
Tilia cordata,0,35300292,5410100,Waterloo
Tilia cordata,152,35300292,5410100,Waterloo
Tilia cordata,0,35300292,5410100,Waterloo
Acer saccharinum,0,35300126,5410100,Waterloo
Malus spp.,0,35300062,5410106.02,Waterloo
Malus spp.,0,35300062,5410106.02,Waterloo
Acer rubrum,0,35300273,5410109.02,Waterloo
Acer platanoides,54,35300732,5410100,Waterloo
Acer platanoides,0,35300732,5410100,Waterloo
Acer tataricum,0,35300076,5410103,Waterloo
Amelanchier canadensis,0,35300076,5410103,Waterloo
Acer platanoides,0,35300076,5410103,Waterloo
Amelanchier canadensis,0,35300076,5410103,Waterloo
Syringa reticulata,0,35300117,5410103,Waterloo
Amelanchier canadensis,0,35300119,5410105,Waterloo
Gleditsia triacanthos,0,35300282,5410100,Waterloo
Acer platanoides,0,35300112,5410103,Waterloo
Syringa reticulata,0,35300096,5410108.02,Waterloo
Fraxinus americana,0,35300095,5410108.02,Waterloo
Gleditsia triacanthos,0,35300737,5410108.04,Waterloo
Acer rubrum,0,35300737,5410108.04,Waterloo
Acer platanoides,0,35300591,5410108.03,Waterloo
Acer platanoides,0,35300032,5410109.05,Waterloo
Acer campestre,0,35300275,5410109.02,Waterloo
Malus spp.,0,35300054,5410109.01,Waterloo
Amelanchier canadensis,0,35300053,5410109.01,Waterloo
Tilia americana,0,35300035,5410101.04,Waterloo
Fraxinus americana,0,35300035,5410101.04,Waterloo
Fraxinus americana,0,35300035,5410101.04,Waterloo
Syringa reticulata,0,35300056,5410101.03,Waterloo
Ulmus spp.,0,35300049,5410109.01,Waterloo
Amelanchier canadensis,0,35300127,5410100,Waterloo
Platanus x acerifolia,2,35300091,5410107.01,Waterloo
Amelanchier canadensis,0,35300116,5410103,Waterloo
Picea spp.,0,35301041,5410108.03,Waterloo
Ulmus spp.,0,35300970,5410109.02,Waterloo
Ostrya virginiana,0,35300932,5410109.07,Waterloo
Celtis occidentalis,0,35300971,5410109.02,Waterloo
Acer x freemanii,0,35300044,5410101.03,Waterloo
