Botanical Name,DBH,DAUID,CTUID,City
Fraxinus,0,35260246,5390311.02,Welland
Acer platanoides,14,35260246,5390311.02,Welland
Tilia,32,35260246,5390311.02,Welland
Acer platanoides,34,35260246,5390311.02,Welland
Acer 'Keithsform',0,35260246,5390311.02,Welland
Ulmus 'Accolade',5,35260246,5390311.02,Welland
Acer platanoides 'Crimson King',10,35260246,5390311.02,Welland
Acer platanoides,29,35260246,5390311.02,Welland
Tilia,25,35260246,5390311.02,Welland
Acer saccharinum,26,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer platanoides,23,35260246,5390311.02,Welland
Acer platanoides,26,35260246,5390311.02,Welland
Acer platanoides 'Crimson King',14,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Tilia,25,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Tilia,30,35260246,5390311.02,Welland
Acer 'Keithsform',28,35260246,5390311.02,Welland
Acer platanoides 'Crimson King',5,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer platanoides,23,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer saccharinum,40,35260246,5390311.02,Welland
Acer platanoides,19,35260246,5390311.02,Welland
Acer platanoides 'Crimson King',5,35260246,5390311.02,Welland
Pyrus 'Navigator',22,35260246,5390311.02,Welland
Tilia,0,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer platanoides,31,35260246,5390311.02,Welland
Acer platanoides,22,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer rubrum 'Katie Cole',16,35260246,5390311.02,Welland
Tilia,25,35260246,5390311.02,Welland
Acer platanoides,17,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Robinia,26,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Tilia,25,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer rubrum 'Katie Cole',26,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Acer platanoides,17,35260246,5390311.02,Welland
Pinus,27,35260246,5390311.02,Welland
Robinia,23,35260246,5390311.02,Welland
Pinus,27,35260246,5390311.02,Welland
Fraxinus,0,35260246,5390311.02,Welland
Pinus,27,35260246,5390311.02,Welland
Acer platanoides,19,35260246,5390311.02,Welland
