Botanical Name,DBH,DAUID,CTUID,City
ACER PLATANOIDES,40,35180816,5320100.02,Whitby
ACER PLATANOIDES,63,35180816,5320100.02,Whitby
ACER PLATANOIDES,45,35181253,5320100.02,Whitby
ACER PLATANOIDES ROYAL RED,37,35181253,5320100.02,Whitby
ACER PLATANOIDES,51,35181253,5320100.02,Whitby
ACER PLATANOIDES,42,35181253,5320100.02,Whitby
ACER PLATANOIDES,46,35181253,5320100.02,Whitby
TILIA X EUCHLORA,61,35180802,5320100.02,Whitby
TILIA X EUCHLORA,64,35180802,5320100.02,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,46,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,47,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,35,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,51,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,44,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,32,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,44,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,48,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,43,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,50,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,46,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,45,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,41,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,43,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,44,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,37,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,39,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,34,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,43,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,34,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,47,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,48,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,47,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,43,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,42,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,39,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,33,35180354,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,37,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,30,35181104,5320100.03,Whitby
GLEDITSIA TRIACANTHOS SKYLINE,33,35181104,5320100.03,Whitby
ACER SACCHARUM SSP SACCHARUM,85,35180265,5320103.00,Whitby
AESCULUS HIPPOCASTANUM,71,35180265,5320103.00,Whitby
TILIA CORDATA GREENSPIRE,40,35180255,5320103.00,Whitby
BETULA PAPYRIFERA,4,35180255,5320103.00,Whitby
ACER PLATANOIDES,36,35180255,5320103.00,Whitby
ACER PLATANOIDES,47,35180261,5320104.00,Whitby
ACER PLATANOIDES,58,35180262,5320104.00,Whitby
ACER PLATANOIDES CRIMSON KING,66,35180262,5320104.00,Whitby
ACER SACCHARUM SSP SACCHARUM,84,35180262,5320104.00,Whitby
ACER PLATANOIDES,53,35180263,5320104.00,Whitby
TILIA CORDATA,51,35180263,5320104.00,Whitby
ACER PLATANOIDES,48,35180261,5320104.00,Whitby
ACER PLATANOIDES CRIMSON KING,53,35180263,5320104.00,Whitby
QUERCUS ROBUR,48,35180263,5320104.00,Whitby
ACER PLATANOIDES,52,35180263,5320104.00,Whitby
JUGLANS NIGRA,51,35180261,5320104.00,Whitby
AESCULUS HIPPOCASTANUM,56,35180261,5320104.00,Whitby
ACER PLATANOIDES,46,35180261,5320104.00,Whitby
