Botanical Name,DBH,DAUID,CTUID,City
Ulmus americana,36,35370143,5590003.01,Windsor
Ulmus americana,91,35370145,5590003.01,Windsor
Ulmus americana,13,35370140,5590003.02,Windsor
Ulmus americana,33,35370136,5590003.02,Windsor
Ulmus americana,18,35370141,5590003.02,Windsor
Ulmus americana,54,35370140,5590003.02,Windsor
Ulmus americana,61,35370135,5590018.04,Windsor
Ulmus americana,36,35370135,5590018.04,Windsor
Ulmus americana,76,35370656,5590002.04,Windsor
Ulmus americana,15,35370656,5590002.04,Windsor
Acer ginnala,15,35370143,5590003.01,Windsor
Pinus nigra,32,35370145,5590003.01,Windsor
Pinus nigra,27,35370145,5590003.01,Windsor
Pinus nigra,21,35370145,5590003.01,Windsor
Pinus nigra,20,35370145,5590003.01,Windsor
Pinus nigra,29,35370145,5590003.01,Windsor
Pinus nigra,26,35370145,5590003.01,Windsor
Pinus nigra,29,35370145,5590003.01,Windsor
Pinus nigra,19,35370136,5590003.02,Windsor
Pinus nigra,40,35370145,5590003.01,Windsor
Pinus nigra,29,35370146,5590003.01,Windsor
Pinus nigra,25,35370146,5590003.01,Windsor
Pinus nigra,26,35370146,5590003.01,Windsor
Pinus nigra,25,35370146,5590003.01,Windsor
Pinus nigra,29,35370146,5590003.01,Windsor
Pinus nigra,39,35370145,5590003.01,Windsor
Pinus nigra,38,35370146,5590003.01,Windsor
Pinus nigra,17,35370145,5590003.01,Windsor
Pinus nigra,45,35370146,5590003.01,Windsor
Pinus nigra,48,35370146,5590003.01,Windsor
Pinus nigra,13,35370137,5590003.02,Windsor
Pinus nigra,9,35370138,5590003.02,Windsor
Pinus nigra,33,35370138,5590003.02,Windsor
Pinus nigra,43,35370141,5590003.02,Windsor
Pinus nigra,48,35370141,5590003.02,Windsor
Pinus nigra,13,35370057,5590019.05,Windsor
Pinus nigra,30,35370057,5590019.05,Windsor
Pinus nigra,30,35370057,5590019.05,Windsor
Pinus nigra,40,35370136,5590003.02,Windsor
Pinus nigra,37,35370136,5590003.02,Windsor
Pinus nigra,43,35370136,5590003.02,Windsor
Pinus nigra,40,35370136,5590003.02,Windsor
Pinus nigra,38,35370136,5590003.02,Windsor
Pinus nigra,47,35370136,5590003.02,Windsor
Pinus nigra,37,35370136,5590003.02,Windsor
Pinus nigra,44,35370136,5590003.02,Windsor
Pinus nigra,32,35370136,5590003.02,Windsor
Pinus nigra,33,35370136,5590003.02,Windsor
Pinus nigra,17,35370136,5590003.02,Windsor
Pinus nigra,33,35370136,5590003.02,Windsor
Pinus nigra,36,35370136,5590003.02,Windsor
Pinus nigra,51,35370136,5590003.02,Windsor
Pinus nigra,21,35370135,5590018.04,Windsor
Pinus nigra,17,35370135,5590018.04,Windsor
Pinus nigra,22,35370135,5590018.04,Windsor
Pinus nigra,23,35370135,5590018.04,Windsor
Pinus nigra,14,35370135,5590018.04,Windsor
Pinus nigra,15,35370135,5590018.04,Windsor
Pinus nigra,21,35370135,5590018.04,Windsor
Pinus nigra,14,35370135,5590018.04,Windsor
Pinus nigra,19,35370135,5590018.04,Windsor
Pinus nigra,14,35370135,5590018.04,Windsor
Pinus nigra,16,35370135,5590018.04,Windsor
Pinus nigra,16,35370135,5590018.04,Windsor
Pinus nigra,24,35370135,5590018.04,Windsor
Tilia americana,8,35370144,5590003.01,Windsor
Tilia americana,35,35370143,5590003.01,Windsor
Tilia americana,58,35370141,5590003.02,Windsor
Tilia americana,53,35370141,5590003.02,Windsor
Tilia americana,33,35370140,5590003.02,Windsor
Tilia americana,47,35370138,5590003.02,Windsor
Tilia americana,74,35370140,5590003.02,Windsor
Tilia americana,76,35370140,5590003.02,Windsor
Tilia americana,55,35370140,5590003.02,Windsor
Tilia americana,36,35370139,5590003.02,Windsor
Tilia americana,67,35370141,5590003.02,Windsor
Tilia americana,20,35370057,5590019.05,Windsor
Tilia americana,18,35370057,5590019.05,Windsor
Tilia americana,30,35370135,5590018.04,Windsor
Tilia americana,27,35370135,5590018.04,Windsor
Tilia americana,31,35370135,5590018.04,Windsor
Tilia americana,32,35370135,5590018.04,Windsor
Tilia americana,30,35370135,5590018.04,Windsor
Tilia americana,28,35370135,5590018.04,Windsor
Robinia pseudoacacia 'Purple robe',28,35370143,5590003.01,Windsor
Robinia pseudoacacia 'Purple robe',30,35370143,5590003.01,Windsor
Robinia pseudoacacia 'Purple robe',33,35370143,5590003.01,Windsor
Robinia pseudoacacia 'Purple robe',59,35370143,5590003.01,Windsor
Robinia pseudoacacia 'Purple robe',40,35370143,5590003.01,Windsor
Robinia pseudoacacia 'Purple robe',49,35370136,5590003.02,Windsor
Robinia pseudoacacia 'Purple robe',65,35370137,5590003.02,Windsor
Robinia pseudoacacia 'Purple robe',20,35370141,5590003.02,Windsor
