Botanical Name,DBH,DAUID,CTUID,City
Unknown,0,46110240,6020531.00,Winnipeg
Tilia spp.,14,46110275,6020536.00,Winnipeg
Fraxinus nigra,37,46110830,6020122.01,Winnipeg
Ulmus americana,70,46110863,6020122.01,Winnipeg
Picea glauca,42,46110840,6020123.00,Winnipeg
Acer negundo,37,46110437,6020501.03,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,41,46110846,6020120.03,Winnipeg
Ulmus davidiana var japonica,16,46110465,6020503.00,Winnipeg
Ulmus pumila,49,46110442,6020503.00,Winnipeg
Ulmus pumila,48,46110700,6020133.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,26,46110442,6020503.00,Winnipeg
Populus spp.,95,46110528,6020111.00,Winnipeg
Tilia spp.,36,46110481,6020102.01,Winnipeg
Ulmus pumila,54,46110442,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,40,46110843,6020123.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,34,46110830,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,34,46110841,6020123.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,33,46110504,6020100.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,40,46110599,6020100.07,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,32,46110823,6020121.00,Winnipeg
Ulmus americana,52,46110705,6020133.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,23,46110845,6020123.00,Winnipeg
Ulmus americana,14,46110833,6020122.01,Winnipeg
Tilia spp.,32,46110437,6020501.03,Winnipeg
Tilia spp.,32,46110440,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,49,46110538,6020113.00,Winnipeg
Acer negundo,31,46110444,6020503.00,Winnipeg
Tilia spp.,26,46110852,6020120.03,Winnipeg
Ulmus americana,86,46110843,6020123.00,Winnipeg
Ulmus pumila,21,46110599,6020100.07,Winnipeg
Ulmus pumila,78,46110524,6020112.01,Winnipeg
Picea glauca,9,46110466,6020503.00,Winnipeg
Ulmus americana,49,46110104,6020021.00,Winnipeg
Ulmus americana,56,46110404,6020012.00,Winnipeg
Ulmus americana,58,46110824,6020121.00,Winnipeg
Ulmus americana,30,46110850,6020120.03,Winnipeg
Ulmus americana,69,46110863,6020122.01,Winnipeg
Sorbus spp.,36,46110404,6020012.00,Winnipeg
Acer negundo,63,46110441,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,31,46110483,6020100.07,Winnipeg
Ulmus pumila,20,46110589,6020111.00,Winnipeg
Aesculus glabra,6,46110534,6020112.02,Winnipeg
Ulmus americana,74,46110863,6020122.01,Winnipeg
Ulmus americana,54,46110833,6020122.01,Winnipeg
Fraxinus nigra,20,46110843,6020123.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,47,46110830,6020122.01,Winnipeg
Ulmus americana,52,46110823,6020121.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,16,46111007,6020100.05,Winnipeg
Ulmus americana,67,46110863,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,39,46110849,6020120.03,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,37,46110845,6020123.00,Winnipeg
Ulmus pumila,38,46110589,6020111.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,37,46110704,6020134.00,Winnipeg
pinus sylvestris,2,46110589,6020111.00,Winnipeg
Ulmus pumila,80,46110703,6020133.00,Winnipeg
Ulmus pumila,100,46110702,6020134.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,49,46110862,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,35,46110444,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,20,46110465,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,43,46110849,6020120.03,Winnipeg
Ulmus pumila,13,46110589,6020111.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,48,46110618,6020012.00,Winnipeg
Fraxinus nigra,31,46110826,6020121.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,50,46110404,6020012.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,20,46110846,6020120.03,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,39,46110836,6020123.00,Winnipeg
Ulmus americana,63,46110828,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,33,46110849,6020120.03,Winnipeg
Acer negundo,65,46110829,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,28,46110841,6020123.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,35,46110702,6020134.00,Winnipeg
Acer negundo,60,46110833,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,22,46111008,6020100.05,Winnipeg
Acer negundo,80,46110700,6020133.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,31,46110847,6020120.03,Winnipeg
Ulmus davidiana var japonica,8,46110832,6020122.01,Winnipeg
Quercus macrocarpa,35,46110539,6020113.00,Winnipeg
Tilia spp.,19,46110465,6020503.00,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,45,46110828,6020122.01,Winnipeg
Ulmus americana,39,46110828,6020122.01,Winnipeg
Ulmus americana,74,46110143,6020030.00,Winnipeg
Ulmus americana,56,46110104,6020021.00,Winnipeg
Ulmus americana,42,46110829,6020122.01,Winnipeg
Fraxinus pennsylvanica var. subintegerrima,34,46110121,6020030.00,Winnipeg
Acer ginnala,8,46110521,6020111.00,Winnipeg
Fraxinus nigra,30,46110851,6020120.03,Winnipeg
Ulmus americana,50,46110829,6020122.01,Winnipeg
